project,commit_id,author_ts,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp,label_oracle,label_BSZZ,label_AGSZZ,label_MASZZ,label_LSZZ,label_RSZZ,label_RASZZ,fix_ts_AGSZZ,fix_ts_BSZZ,fix_ts_LSZZ,fix_ts_MASZZ,fix_ts_RASZZ,fix_ts_RSZZ,fix_ts
ant-ivy,b64b470e4afd1816a2c21af8262504cc1b668d6f,1118937272.0,1,1,1,0.0,25,6,291.0,0,1,0.1915856481481481,1,2.0,1.9989752845965807,1.0,0,1,1,1,0,0,0,1173307238.0,1173307238.0,,1173307238.0,,,1173307238.0
ant-ivy,138a20ef063fa3e2b97074f599124d2fcc94545d,1118945421.0,1,1,1,0.0,12,0,79.0,0,1,0.2859027777777778,1,3.0,2.99820080481511,2.0,0,0,1,0,0,0,0,1512468741.0,,,,,,1512468741.0
ant-ivy,2a5a07fcb1a24fded957d260f9a9df988323db19,1118947006.0,1,2,2,0.8112781244591328,28,12,849.0,0,1,0.2997685185185185,3,4.0,3.997999955616218,1.0,1,1,1,1,1,1,1,1119243394.0,1119243394.0,1119243394.0,1119243394.0,1135595375.0,1119243394.0,1119243394.0
ant-ivy,4642f1df280891c2238e74935239096fba508ba0,1119017661.0,1,4,4,1.4295487875817467,47,14,473.0,0,1,1.0459519675925926,6,5.0,4.98683164972445,2.0,1,1,1,1,1,1,1,1125341995.0,1125341995.0,1125341995.0,1125341995.0,1126632738.0,1126632738.0,1125341995.0
ant-ivy,17342e87465c92c70b1eee60a14a8398721e27c1,1119243394.0,1,1,1,0.0,2,1,160.0,1,1,3.734664351851852,1,6.0,5.944375467509032,3.0,0,0,0,0,0,0,0,,,,,,,
ant-ivy,42ffb77e341635adbf1f2b71727cb586fe2ff672,1119243426.0,1,1,1,0.0,128,0,0.0,0,1,0.0,0,7.0,6.944368476878975,4.0,1,1,1,1,0,0,1,1135590273.0,1135590273.0,,1135590273.0,1135590273.0,,1135590273.0
ant-ivy,b92f81e2f692f52943c49c595d087d3e3c6c622d,1119276218.0,1,3,6,2.085304484093007,192,81,447.1666666666667,0,1,3.3051253858024694,10,8.0,7.936173470867612,5.0,1,1,1,1,0,0,1,1180554146.0,1180554146.0,,1180554146.0,1180554146.0,,1180554146.0
ant-ivy,6847003b33374f0f02c969aa123376734531b513,1119291198.0,2,2,2,0.9090221560878148,37,0,624.0,0,1,2.23066550925926,3,9.0,8.931960674726193,4.5,0,1,1,1,1,1,1,1130310397.0,1130310397.0,1138013462.0,1130310397.0,1130310397.0,1138013462.0,1130310397.0
ant-ivy,1ab4b852f31d3dd13bb8c690c9531d13a5a8701a,1119981225.0,1,2,2,0.9709505944546686,4,1,144.0,1,1,11.713368055555556,3,10.0,9.720707719530052,7.0,0,1,1,1,0,1,1,1125341995.0,1125341995.0,,1125341995.0,1125341995.0,1125341995.0,1125341995.0
ant-ivy,4884c7e4be5ed2705c51418c92760e1367581571,1120026363.0,1,1,1,0.0,4,4,265.0,1,1,12.796805555555556,1,11.0,10.70577210390107,8.0,0,1,1,1,0,0,1,1175238066.0,1175238066.0,,1175238066.0,1175238066.0,,1175238066.0
ant-ivy,cf3a2221de17ac656106a09792224659f0d7f7b3,1120074416.0,1,1,1,0.0,25,4,206.0,0,1,1.078599537037037,2,12.0,11.68839618754473,9.0,0,0,0,0,0,0,0,,,,,,,
ant-ivy,36a1784d52126394afc5963d8139f8933bdd60c9,1120078041.0,2,4,5,1.8120032760083444,132,10,307.4,0,1,12.499023148148147,8,13.0,12.686972548986176,7.0,1,1,1,1,1,0,1,1130310397.0,1130310397.0,1130310397.0,1130310397.0,1130310397.0,,1130310397.0
ant-ivy,f5a532d6065e55a1c1082579baa64c786971219d,1120495166.0,2,2,2,0.9852281360342516,21,0,97.0,1,1,18.222766203703703,2,14.0,13.512208204199844,8.0,0,1,1,1,1,1,1,1173393543.0,1173393543.0,1173393543.0,1173393543.0,1224542713.0,1173393543.0,1173393543.0
ant-ivy,8c02470fb08b4dfec9e98b29f64e844e1452e305,1120501626.0,2,3,5,2.112170411474568,114,19,702.2,1,1,16.617030092592593,10,15.0,14.509331926316364,9.0,0,1,1,1,1,1,1,1137060006.0,1137060006.0,1137060006.0,1137060006.0,1137060006.0,1139574107.0,1137060006.0
ant-ivy,46264b4d633ec1266c36516524cd248111d4eb6b,1120659777.0,2,2,2,0.6500224216483541,16,2,302.5,0,1,13.430520833333333,3,16.0,15.434280194142207,10.0,0,1,1,1,1,1,1,1130224724.0,1130224724.0,1130224724.0,1130224724.0,1130224724.0,1130224724.0,1130224724.0
ant-ivy,d978622220174aeeefd3f9b7f90493510ae46fde,1120733696.0,2,3,5,1.772772751900948,53,19,605.0,0,1,4.28094675925926,16,17.0,16.39711151612636,11.0,1,1,1,1,1,1,1,1128091913.0,1128091913.0,1128091913.0,1128091913.0,1128091913.0,1128091913.0,1128091913.0
ant-ivy,003ce14b7b17769cccbdd708d9223180d582f85e,1120754984.0,2,4,4,1.707811565066781,73,0,349.0,0,1,7.327824074074074,9,18.0,17.385763864575566,12.0,1,0,1,1,0,0,1,1175238066.0,,,1196280605.0,1175238066.0,,1175238066.0
