project,fix_commit_hash,fix_author_ts
ant-ivy,1b84f2ee7a41e8ab12faa73130187763ee5858ea,1512645955.0
ant-ivy,30c217ec400b9175e9490807748ec3e48fe2ba22,1512471456.0
ant-ivy,4e2846d5f453b1190b1a6fe73e804ec726d072cb,1512468741.0
ant-ivy,d86ae886e0f261171ab9cd73f867d86bfcd84d3e,1512465456.0
ant-ivy,06005610265c342b52051b997a43ad6e963c5a0f,1510336939.0
ant-ivy,ca7f64f016d8354aecd38ef73405e1b3267ca791,1510336865.0
ant-ivy,1f3dd9ff8a4f8302eb4c0bf4072d2bb7d8aeddd9,1510336817.0
ant-ivy,c947676916c99f2feb5e183aef9629a1b21d863f,1510336741.0
ant-ivy,fc8ef4d22c95b13b907ed14b19cea8ff5fd1e653,1505366804.0
ant-ivy,08fc7320de07cc41318fc7505a2f3ccc2a6b04d4,1502122403.0
ant-ivy,b691f81b482175665b45cabc056e58ab0df03ff8,1503682006.0
ant-ivy,463a2c89c3840c35ceadd786a6b1781e0e8fd5a3,1503117877.0
ant-ivy,f4237388ea9b93278db12a43c9db9f18e51b6f7f,1502103838.0
ant-ivy,f0e8d41fc8cc746ba9b66b72646db6bd8b25c6fc,1501211376.0
ant-ivy,40708bdf04dae6aa49bf8f3617f2efc16c83c5f8,1501073811.0
ant-ivy,d4c3cbccaf05beeb11712294ef4dd0af25d9d0f4,1500755700.0
ant-ivy,585a702138f1cc87df3b41509cc42ad34b6acd62,1499846715.0
ant-ivy,d0f7f364ff959a69ab961eda69956bd42bc17815,1499383896.0
ant-ivy,c871265452e473224b3cf4f0f66497691b75d7b7,1499074998.0
ant-ivy,4b6e0bd179c5f728761c953249b6dda4d33fe18a,1499073721.0
ant-ivy,fb3ccf60e9a2d55a1abe8aafe38e45861e7a8eac,1497375337.0
ant-ivy,8b9f2d5177c849b37809ab38035e1d757d963314,1497077804.0
ant-ivy,95a524ea06e546330ec3d95b9c139b7edc599b86,1496455484.0
ant-ivy,2f757454dc41f4d130234aea68b348da4f12a0fa,1495527339.0
ant-ivy,9ea5c69bda2ed1ec0c69c081e91b72dcf6a6e81c,1495118561.0
ant-ivy,36e99429c22af17bcc3ecf6031ed531055aaada2,1495778635.0
ant-ivy,da69323b29fe8e373364b9399bc67523dcf2af62,1495251797.0
ant-ivy,850a888c546bab897542a2d89ff76ca9debce0ee,1495086924.0
ant-ivy,539e1ee1d68c27defd0aaad09a1a0b68e059de96,1492631108.0
ant-ivy,d19212c03ec7eb82e37e11746bac7a064738b686,1481129018.0
ant-ivy,7217b9d270e31fe1e68803c8e25b0a03869f1556,1478652528.0
ant-ivy,7b7b37726fb328a6d796b64f2947689c6a8eb3e9,1478649396.0
ant-ivy,dcde20001063fc25f622e4b1c7775f735a7255f0,1422224710.0
ant-ivy,83fcd3e1e220b9f3aacc63aeb4da0a898684dd0b,1421963459.0
ant-ivy,05b14fd01e43ab8a385bcfb53102a270ef2d9375,1421597934.0
ant-ivy,56c04300e8f05bdaccc2ec60fc751c09d86b7b68,1419688916.0
ant-ivy,3076802a78f14eb1b4f23831d5a1ccec79b26554,1403814414.0
ant-ivy,3e5c9e3cfe8588f85ec8dcab879c1371901b94ba,1400793144.0
ant-ivy,2902a9a3c07e881dd7aeae0a55189facfab1966c,1399356990.0
ant-ivy,8d851390736dcb916646b043a5ed7ff8f212e37c,1399319573.0
ant-ivy,c66b23747627a2b432e0068561d457cab9f97ead,1398622790.0
ant-ivy,9e85ac3f0020165b008c111682e47c1cc135bf7d,1394834697.0
ant-ivy,badca06dd1c70207215c7186a31955901b637661,1389547977.0
ant-ivy,5db07bdcccf727ec50d8d7c85740b52b3c5ae362,1389545620.0
ant-ivy,5d5f09ea371d19fdd9e487a5ce45a26f97fe9b3c,1388918266.0
ant-ivy,198e589e62f687a91d4c27057ebad918e9f9bf3f,1388336796.0
ant-ivy,b7e86cdd772cc47a031d187b79d075af8155c2e0,1388336751.0
ant-ivy,6bce493e47fdac9e64a9ae1cb3c358f31975a43a,1388092885.0
ant-ivy,37787b96ab21fc226ff267aa26ae58a58b2d20f8,1375021522.0
ant-ivy,39ee22556bb13ec9ac64bbbafb94b1a042058432,1375020576.0
ant-ivy,d6a354e203e4901d3eb6a36b3aba620fdb222da7,1374592965.0
ant-ivy,81c40b9820625d3f529b116baf6b4a3d45dd2f75,1371240171.0
ant-ivy,58f50814635aca8626c8628ab49891ba7e2226ec,1362094365.0
ant-ivy,8c5a4a7bafc3685d433ee277fad060e8b046e920,1362091844.0
ant-ivy,64a64f5ef90dfb4b3b862d0943437f11e35db938,1359671900.0
ant-ivy,33753d4afd864c8db0044420c642b8f0c3511756,1356045100.0
ant-ivy,01ecd7c66d6965ad54e0180c822e6a5ba4731c10,1355172965.0
ant-ivy,fdb75911387f77912c37dcee0af4a2f2e0977f3c,1353617071.0
ant-ivy,42f704c86bbc636c314bc6dd6d20947055f3a56c,1351109612.0
ant-ivy,e58b5d453fa5bd658522a2b0355b2bb3597b6320,1350330596.0
ant-ivy,6526a5e83c1fb9644da34e44fdc5a3bb8a357c84,1350314787.0
ant-ivy,ee6ae79be8d0303db4bf48a948bcaee46b329fec,1346324597.0
ant-ivy,2499f70cabfc8d17f2c6de124a81fc0940a70fa9,1346187062.0
ant-ivy,50e133fb2078edc9abe79fda3b721eaf28409ce4,1346166552.0
ant-ivy,d6c57d547c4c0ed26f82bb20966780a136a55ad7,1345760460.0
ant-ivy,7df11e15457e8d8bf4e5730d20ec2412c429e091,1345594447.0
ant-ivy,a759e78d4d486c05044204391b3037b7db052fa7,1345587366.0
ant-ivy,0ff7c091143e8326eb88dabce078ca76778a587b,1345579629.0
ant-ivy,14d6a09601b68f60e6b18142b597a6890e5d581b,1345577645.0
ant-ivy,b9a22fb6f6f460287993d3cf087ae5ff036a6c21,1345577283.0
ant-ivy,ac11ad359369119624b1733fc3d242f03d941a8c,1345575301.0
ant-ivy,1c4f7bde1c8f7d8c0e09484daa626fa4f40e38e6,1345568329.0
ant-ivy,535cbcd9f20b29b3c5a5d69f654cde57969b3788,1345561067.0
ant-ivy,f65e9aa63f8f266023a986507834585a9580c555,1345560586.0
ant-ivy,660431cf4f7e2bda887a0e35ad3a76bdccc14110,1345559424.0
ant-ivy,4be08392978de39ffedf1688041bbf546d7b3a28,1345499313.0
ant-ivy,52811ea2077918a08c10634f3665972378781463,1345443460.0
ant-ivy,d964c73d749538ee7ec7b3cbd96a2ff1dba201b3,1345414615.0
ant-ivy,e80b85d504ae9fb64b8cff4f05bc3a3a4ec8f716,1345414536.0
ant-ivy,f11bd7cbff7ee68afa55dcc6baec97b2adaf43e1,1345413305.0
ant-ivy,0b873b95a840f8cfdb51f4ceea3b524d46d20715,1345412785.0
ant-ivy,423b7ab26233e24cbaf6aa21f2fe97b7671d1341,1345393042.0
ant-ivy,ce8cb2ab13dfe6b68fc1ecbf7ae0f165e51014bd,1345392854.0
ant-ivy,fe96b3bb16be25bf936daac1d004e579f1ca770a,1345391900.0
ant-ivy,a2d367db9446287c22821f6595217ec5180ec959,1345391533.0
ant-ivy,275870d751f909ed771ef6c1dbfc547d7cf106a8,1345390645.0
ant-ivy,371dfcceb69200fd4105b5d60f2e0cfa57f7ca7c,1344892239.0
ant-ivy,46dcd98ceb70720f96d4cfa23b001ff108bdaebe,1343977679.0
ant-ivy,83246a74940203e6c4a45ecf077df3c7c82d02c9,1334523202.0
ant-ivy,3f832070401696af2dde3e4bde4b02a01de0eab4,1334252210.0
ant-ivy,ed1d3ed21c2269267bc6b02ec33024221539a6f7,1333955508.0
ant-ivy,9fcd616fe5790778febb79d50c7b297b056877a6,1332801910.0
ant-ivy,63b85e9c1489baed177698da20ab1cead3065cee,1332544301.0
ant-ivy,65a2a7da3ec5a9c41a6279c55d7b8a2c239bee56,1332541667.0
ant-ivy,07c9c444e32dde52db91af891fdc5249d6bd3318,1331109839.0
ant-ivy,22dd74e245b5ec3a5346b8bd20f73a36f9572bb3,1331072432.0
ant-ivy,5e0edca229ed9f54e3ca25959943c64b4b3d33f5,1331029559.0
ant-ivy,815fa4b995f7ffe7fa789a9ad34b72d32fc417c1,1330843194.0
ant-ivy,2141afadd2b78d6907334d22edd4c5bb59616108,1329953866.0
ant-ivy,58588fd7b8b911478d5e9caa0f078f58cfb7c552,1329548000.0
ant-ivy,1cdfff55e5ac5fd4543f2f4e4df77959e5fdca42,1329430813.0
ant-ivy,49ac3477d6d18eee53d40d0d0488a319f07c634b,1329261531.0
ant-ivy,425c28f75c8a7b7b81cd635ce8a95df4f99cb163,1329259253.0
ant-ivy,82fae244b7e1b29328557e6ad6965b54bb12e4f9,1327276780.0
ant-ivy,935b93acaac2362a760b24cb5a31cf36f1518779,1326654436.0
ant-ivy,bd0aac4761e55f7923a93ed2e085d317378c8af7,1326654241.0
ant-ivy,a4c635e4df33a03128ab571280d5ad241155620a,1326651455.0
ant-ivy,899f9fd0a9690581f33a715bb5f000397f1bafef,1325709670.0
ant-ivy,187236482a6ac872135dc7544cf1423cef5fb1d9,1325462558.0
ant-ivy,84fd1dd099e6d44cdc5a2d6718197022f257dce9,1325427949.0
ant-ivy,701169f0970307654c46511a7cab978ab027d90b,1324838820.0
ant-ivy,d79783b9ce9d041bad4f2264c6f62c4c33f6f218,1324712588.0
ant-ivy,40ad899b1073eaf65d8c7ff4b4d12ea420ea6740,1324711372.0
ant-ivy,965ab18ee1c896884b38b332b6bd26ce98ad04d5,1321214121.0
ant-ivy,f1dab549180cf947cb7560ffa63787647d0403e8,1321213957.0
ant-ivy,a934ba943d444854028898ef166f6843c14feea5,1321101647.0
ant-ivy,0f794328d8da5461546fd8ad4104a49fce2bf7b1,1321100990.0
ant-ivy,15e9953982d2a81d507d37ab1ab6f9f43ff4a2b7,1320490031.0
ant-ivy,069faaa38e39e9877299a35c9af3a0854e20ad26,1315165023.0
ant-ivy,2b720c7df037fc7d9b1b83d3fb6cb12edc6e8ed2,1314738903.0
ant-ivy,e0aedbbca453cb21d3fc847a36e498441d890f0d,1304027490.0
ant-ivy,523d0f70d18b5496008c9063b9f6e9321877d574,1300230676.0
ant-ivy,f46912fffed1e9800d0fb193b37df5f93b1436a0,1298099702.0
ant-ivy,a6fa9d28add20732380326f397051cb89454c55e,1297898453.0
ant-ivy,96b0944fe42f5b3333c17e545b1146136f680cbf,1297777739.0
ant-ivy,0ba051ea68b2f9fb4075b3879c0eb48f9e06f6b6,1294472804.0
ant-ivy,f91eece7131115bbc3ae0a38ef6da5c091a70955,1294426799.0
ant-ivy,3222754b7da18c32492e5678a016bcb7fa8d7faf,1294268107.0
ant-ivy,80729089051c99ba0935026619cb212d92e4339c,1293141552.0
ant-ivy,a61ff9c166ca0a76b7eacec4c35fb6634de13e86,1293056312.0
ant-ivy,9314fbf1967f5cc50ce48ada932a9ce9f7fdb507,1292971794.0
ant-ivy,d3f54f4b01b72367a8bd32de705ea2bd4c8844a6,1292842645.0
ant-ivy,3ea778c10ad16b8eba30a33d08d70dff1fdb20ef,1292370079.0
ant-ivy,800168f43c01b74fbbd203e45b0ef289e4847319,1292368328.0
ant-ivy,de2468ebbf96f10c55271498226024a8b89a4c80,1292251161.0
ant-ivy,9e8b39706331dc4d9c9d4dd55c667b55a7aee842,1290175937.0
ant-ivy,ffd4bc6027a4276a156f6c783158718e9eec88f7,1288195233.0
ant-ivy,9e6d96f9458849508c37159187e214e804bb41bd,1288195196.0
ant-ivy,555f2fffcc41067c05f9869afa4bb20158e0002d,1288195140.0
ant-ivy,6ab9d41e3e9fac941966d877e57f54b49003a8a4,1287438521.0
