project,fix_commit_hash
ant-ivy,cda2b6c376fb8a0e0e0de28abe58d11e091a0a90
ant-ivy,9c621e90fe8691d5632d2065a732e67033a4004e
ant-ivy,a2957640c363e2138970cf95bce17329f4c9d919
ant-ivy,64fcdf5322bc67ae880fb042d8c7a70e4168b69c
ant-ivy,02f9469044b2a5c8b87dde443839996a730cc3fc
ant-ivy,75d346b7eef3c336a8278e76e905db98e878d4d7
ant-ivy,69f8b7008c804bf0bcf82d254732cf1d9171d101
ant-ivy,23e7c3b44ddb18eecaed97ef68aa26220a085a37
ant-ivy,815513f7da72c65034e82236d3203c06d5a18772
ant-ivy,a7ba2b11ed7d4cd6f41de0c5ddf1d4f2fee7bc30
ant-ivy,15449c2d8975402964565b4103664bd39eb5ee41
ant-ivy,658ad63ff222f1e73d9782671fd5b57051e8ab46
ant-ivy,9431373f8a271d1229b84a36f0e449af6fb9e4ee
ant-ivy,535c0c34334862d47ad339a99d0933e5eba76ae0
ant-ivy,4dfab0656fe2e8739aafcdf98cdeb2d10541382c
ant-ivy,3f8fe0e329b8765ec62540a497ce6ca3beba2250
ant-ivy,d7d9cf45fa1400bb525446708e91dd7514c455e4
ant-ivy,e31113a8d15200b17d366b7fa637f03ef8be282d
ant-ivy,b34fdc404f53efeb27725f8e2017711e0eb9255e
ant-ivy,5057a8affbea2a970419bdc24bcf556f5cfa16c7
ant-ivy,f002d335494301d96ad22c428126c7b3cf15e09b
ant-ivy,f453f8c7cef4319b79bcac9d08c2296324987fa0
ant-ivy,9022687ce91015634e41e1c528654005df450878
ant-ivy,283a1cfbd20bc5061551d5a829e8ed40ff68c46a
ant-ivy,26fa85d0af87919a88f2cf3076eedf8fec2b9a47
ant-ivy,64d6303154b1c85181c686d0a6e7c0437e5da770
ant-ivy,e7a919136b5638b4b4c058874d01fdb7ee1ac8f8
ant-ivy,580638ecf307d457f0ac3ea4f79e6638c9fa4a19
ant-ivy,a63b33a13a3010cb8fa12574776fec1c32cad53a
ant-ivy,969c1d49a271f7fa04cff16ac5d4b888e5a25f37
ant-ivy,2fd76a1a31ad87de8b68d18b3563b4881512a12d
ant-ivy,196a3f29ccfbb60ee08b551383e0e3a1644214ba
ant-ivy,06d37eb1d79845f5a050b5deeda466771ba1c202
ant-ivy,226204eed59c1fc50ad97131b839e1ed513d536c
ant-ivy,2cda0797a5dd539e88cbb4bbf6a392ecdc63c63a
ant-ivy,371280dad18fd5a496f1d96d890d967f38c200ff
ant-ivy,28704041ebe62167281d24100e3e874bf1717d04
ant-ivy,ef0e3797ad9e410b445e608e7b0e7593fe68a7a5
ant-ivy,0430af408da0da9c1577ff36bb43260bb1577e16
ant-ivy,2835088543bd7015ee20efff08478edf7ce0cc7e
ant-ivy,2e6870ab9ae5fa2e84dd8ea1167ad0e18c0c0196
ant-ivy,f45aa167dd803b746d8d1522c45c8a957b420654
ant-ivy,e2fdd8576922f7784e2809e8b2b3724ffb157f91
ant-ivy,5ee76142f917e45e551e979cd77fde63ae7f2e78
ant-ivy,893234abb5c8b007e04e291add6691cc7224217c
ant-ivy,e02041fba5531f64c5c899bd39445087e25d12d4
ant-ivy,f5631f982122ffaceffaf623e5ae2f6883a16139
ant-ivy,89574baa05c3fde6bcda2ffb6b5dfeba080db0c6
ant-ivy,1a432cc1d5b32a7de405f696b4a12d8240943047
ant-ivy,fc856fc14402b8eaa975691b1a09ccf42770f178
ant-ivy,129c19711e8f4f9603fcf28496f3ef3a95926415
ant-ivy,1b5578ac663ce35ce962dcb5e6e53559a509aa97
ant-ivy,1a89989477047546285718922b74d1c821e7d153
ant-ivy,0ce140c892ffdaddc8ef18bc6efd7891972b71a9
ant-ivy,de4c40a91b9e7a7a46ddd1e78b8a5e55dc9ca698
ant-ivy,e897dfdb439f1e783c03328d586dcfb8dc9196d1
ant-ivy,563e233cf21fe5fe47c77ed2b52052cfc32a8487
ant-ivy,b22245181c10ec3c01e8e2c8a3d86065d0b175d5
ant-ivy,2e053b28dc1c57c2d90a84253590d676e8d68fd3
ant-ivy,24f7524858704327230c6348fcd1ec99b8e59d3b
ant-ivy,5d223336597733a002d6a7a0aa423ebbed320fe3
ant-ivy,283f77d29ab46c5ae47d312455641a0317c58f58
ant-ivy,920ec78167016b5699ba847ede5cd7616cad8ff5
ant-ivy,d282731d517899d07734860949b69cde7a04bc0c
ant-ivy,987f6bb4fe33006ddac106499081149f38f07063
ant-ivy,da7350551914ccbc9c1c652f979faf9a48d6012a
