project,seed,n_flagged,fp_rate,auc,auc_permuted
ant-ivy,7,735,0.6136054421768707,0.6171745806756438,0.49633829435388616
ant-ivy,13,735,0.6136054421768707,0.5783132530120481,0.4832270257500591
ant-ivy,21,735,0.6136054421768707,0.6022071479194088,0.577570787351085
ant-ivy,42,735,0.6136054421768707,0.6197057136107456,0.5764570888596403
ant-ivy,77,735,0.6136054421768707,0.579966926529648,0.4186325132462624
commons-bcel,7,115,0.7478260869565218,0.6585144927536232,0.43297101449275355
commons-bcel,13,115,0.7478260869565218,0.657608695652174,0.5226449275362319
commons-bcel,21,115,0.7478260869565218,0.6186594202898551,0.3858695652173913
commons-bcel,42,115,0.7478260869565218,0.5778985507246377,0.24275362318840582
commons-bcel,77,115,0.7478260869565218,0.6431159420289855,0.6539855072463767
commons-beanutils,7,229,0.851528384279476,0.5389886578449905,0.45085066162570886
commons-beanutils,13,229,0.851528384279476,0.5437145557655955,0.6682419659735349
commons-beanutils,21,229,0.851528384279476,0.5243383742911153,0.5200850661625709
commons-beanutils,42,229,0.851528384279476,0.5309546313799622,0.4945652173913043
commons-beanutils,77,229,0.851528384279476,0.5588374291115312,0.5430056710775047
commons-codec,7,270,0.8925925925925926,0.7518915510718789,0.4555485498108449
commons-codec,13,270,0.8925925925925926,0.7209962168978562,0.47414880201765447
commons-codec,21,270,0.8925925925925926,0.717843631778058,0.3890290037831021
commons-codec,42,270,0.8925925925925926,0.7014501891551072,0.5841740226986128
commons-codec,77,270,0.8925925925925926,0.7247793190416141,0.42213114754098363
commons-collections,7,624,0.9439102564102564,0.5448660714285715,0.4873325892857143
commons-collections,13,624,0.9439102564102564,0.57265625,0.5676339285714286
commons-collections,21,624,0.9439102564102564,0.5549107142857143,0.5318638392857142
commons-collections,42,624,0.9439102564102564,0.5454799107142857,0.44910714285714287
commons-collections,77,624,0.9439102564102564,0.5444754464285715,0.4288504464285714
commons-compress,7,283,0.7385159010600707,0.455952380952381,0.6965476190476191
commons-compress,13,283,0.7385159010600707,0.47035714285714286,0.4257142857142857
commons-compress,21,283,0.7385159010600707,0.4821428571428572,0.4630952380952381
commons-compress,42,283,0.7385159010600707,0.4741666666666667,0.39476190476190476
commons-compress,77,283,0.7385159010600707,0.4677380952380953,0.5392857142857143
commons-configuration,7,599,0.8196994991652755,0.44235294117647056,0.531285403050109
commons-configuration,13,599,0.8196994991652755,0.4691938997821351,0.4840958605664488
commons-configuration,21,599,0.8196994991652755,0.49032679738562096,0.47193899782135074
commons-configuration,42,599,0.8196994991652755,0.45124183006535945,0.5698910675381264
commons-configuration,77,599,0.8196994991652755,0.47010893246187363,0.46387799564270155
commons-dbcp,7,511,0.8962818003913894,0.7156042333251293,0.6796701944376077
commons-dbcp,13,511,0.8962818003913894,0.6854540979571746,0.4778488801378292
commons-dbcp,21,511,0.8962818003913894,0.6596111247846419,0.5526704405611617
commons-dbcp,42,511,0.8962818003913894,0.6743785380260892,0.45151365985724834
commons-dbcp,77,511,0.8962818003913894,0.6758552793502339,0.6466896381983755
commons-digester,7,231,0.9393939393939394,0.5077881619937694,0.4870197300103842
commons-digester,13,231,0.9393939393939394,0.49169262720664586,0.604361370716511
commons-digester,21,231,0.9393939393939394,0.5332294911734163,0.6334371754932502
commons-digester,42,231,0.9393939393939394,0.5955347871235721,0.8260643821391485
commons-digester,77,231,0.9393939393939394,0.4885773624091381,0.8130841121495327
commons-io,7,364,0.8379120879120879,0.48892405063291144,0.4501582278481012
commons-io,13,364,0.8379120879120879,0.5396888185654009,0.5392932489451477
commons-io,21,364,0.8379120879120879,0.5508966244725738,0.4523997890295359
commons-io,42,364,0.8379120879120879,0.5238660337552743,0.5605221518987342
commons-io,77,364,0.8379120879120879,0.49367088607594933,0.5727848101265822
commons-jcs,7,387,0.8010335917312662,0.615530303030303,0.5521969696969696
commons-jcs,13,387,0.8010335917312662,0.616969696969697,0.5980303030303029
commons-jcs,21,387,0.8010335917312662,0.631590909090909,0.4846212121212121
commons-jcs,42,387,0.8010335917312662,0.630530303030303,0.4778030303030303
commons-jcs,77,387,0.8010335917312662,0.6317424242424243,0.506060606060606
commons-lang,7,738,0.8902439024390244,0.5373405612244898,0.4838966836734694
commons-lang,13,738,0.8902439024390244,0.5694196428571429,0.4744260204081633
commons-lang,21,738,0.8902439024390244,0.5534119897959184,0.4723852040816327
commons-lang,42,738,0.8902439024390244,0.5545599489795918,0.46798469387755104
commons-lang,77,738,0.8902439024390244,0.561639030612245,0.4507334183673469
commons-math,7,1200,0.7966666666666666,0.619548611111111,0.45526909722222225
commons-math,13,1200,0.7966666666666666,0.6069704861111112,0.5018055555555556
commons-math,21,1200,0.7966666666666666,0.6102604166666666,0.5067534722222222
commons-math,42,1200,0.7966666666666666,0.6239930555555555,0.5311545138888888
commons-math,77,1200,0.7966666666666666,0.5849739583333334,0.4426128472222222
commons-net,7,188,0.7393617021276596,0.5467171717171717,0.4621212121212121
commons-net,13,188,0.7393617021276596,0.5672348484848484,0.613320707070707
commons-net,21,188,0.7393617021276596,0.5590277777777777,0.6265782828282829
commons-net,42,188,0.7393617021276596,0.5729166666666666,0.608270202020202
commons-net,77,188,0.7393617021276596,0.5782828282828283,0.5192550505050505
commons-scxml,7,177,0.807909604519774,0.7560728744939271,0.3147773279352226
commons-scxml,13,177,0.807909604519774,0.7297570850202428,0.5926113360323887
commons-scxml,21,177,0.807909604519774,0.7388663967611336,0.6543522267206477
commons-scxml,42,177,0.807909604519774,0.7353238866396761,0.3593117408906883
commons-scxml,77,177,0.807909604519774,0.7520242914979757,0.659412955465587
commons-validator,7,246,0.9308943089430894,0.5036041939711665,0.45150720838794234
commons-validator,13,246,0.9308943089430894,0.5081913499344692,0.47837483617300136
commons-validator,21,246,0.9308943089430894,0.4669069462647445,0.5032765399737877
commons-validator,42,246,0.9308943089430894,0.5088466579292267,0.40366972477064217
commons-validator,77,246,0.9308943089430894,0.4521625163826999,0.491480996068152
commons-vfs,7,452,0.7920353982300885,0.6901526915113871,0.4545160455486542
commons-vfs,13,452,0.7920353982300885,0.656444099378882,0.5802277432712215
commons-vfs,21,452,0.7920353982300885,0.6867236024844722,0.5306030020703933
commons-vfs,42,452,0.7920353982300885,0.6620729813664596,0.6805771221532091
commons-vfs,77,452,0.7920353982300885,0.6697722567287785,0.5744694616977225
giraph,7,198,0.6565656565656566,0.7468460891505468,0.566021867115223
giraph,13,198,0.6565656565656566,0.7382253994953744,0.6980656013456686
giraph,21,198,0.6565656565656566,0.7382253994953742,0.6007148864592096
giraph,42,198,0.6565656565656566,0.7007989907485282,0.43650126156433977
giraph,77,198,0.6565656565656566,0.7176198486122792,0.5759041211101766
gora,7,129,0.7906976744186046,0.64247311827957,0.3172043010752688
gora,13,129,0.7906976744186046,0.6344086021505376,0.2849462365591398
gora,21,129,0.7906976744186046,0.663978494623656,0.424731182795699
gora,42,129,0.7906976744186046,0.6666666666666667,0.467741935483871
gora,77,129,0.7906976744186046,0.5913978494623656,0.31720430107526887
opennlp,7,75,0.7333333333333333,0.5758928571428571,0.5922619047619048
opennlp,13,75,0.7333333333333333,0.5461309523809523,0.31398809523809523
opennlp,21,75,0.7333333333333333,0.5907738095238095,0.5669642857142857
opennlp,42,75,0.7333333333333333,0.5714285714285714,0.6651785714285714
opennlp,77,75,0.7333333333333333,0.5803571428571428,0.5863095238095237
parquet-mr,7,309,0.7896440129449838,0.6752552260573651,0.4207583859990277
parquet-mr,13,309,0.7896440129449838,0.6919056878949927,0.5275887214389888
parquet-mr,21,309,0.7896440129449838,0.7097715119105493,0.5932182790471561
parquet-mr,42,309,0.7896440129449838,0.6462080700048615,0.46086533787068545
parquet-mr,77,309,0.7896440129449838,0.6412250850753525,0.5046183762761303
