family,claim,floor,n,mean_a,mean_b,hodges_lehmann,ci_low,ci_high,rank_biserial,n_favouring_a,p,p_holm_within_floor
regime_inflation,JITLine/oracle: k-fold > chronological,0,21,0.24295764573856674,0.10163676434704316,0.13734855076164354,0.10463362333716741,0.1720805730134375,1.0,21,9.5367431640625e-07,6.67572021484375e-06
self_deception,JITLine/BSZZ k-fold: self-scored > oracle-scored,0,21,0.41292899627137925,0.17514251286171584,0.23033224313950915,0.18863982485287356,0.27844267695312214,0.9913419913419913,20,1.9073486328125e-06,1.1444091796875e-05
self_deception,JITLine/BSZZ chronological: self-scored > oracle-scored,0,21,0.22321080434510251,0.1324253314536849,0.09782314340227671,0.05134315279840025,0.1407151099212703,0.7575757575757576,17,0.0013742446899414062,0.004122734069824219
label_source,ORB prequential: oracle > BSZZ labels,0,21,0.09699731192546321,0.057754069309182844,0.041158469361344256,0.02187067310454988,0.052122131668693304,0.8787878787878788,18,0.0001049041748046875,0.0005245208740234375
phase3_repair,FP-repair > BSZZ,0,21,0.09624933514853946,0.057754069309182844,0.040216294745447856,0.021656080741209303,0.05195184872109383,0.8441558441558441,17,0.00024127960205078125,0.000965118408203125
phase3_repair,FN-repair > BSZZ,0,21,0.05842062502118525,0.057754069309182844,-0.0012242859508399782,-0.008907583049992545,0.008026027695024375,-0.08225108225108226,8,0.7592878341674805,0.7592878341674805
phase4_H1,H1: fp_filter > ORB on BSZZ,0,18,0.0717397990917901,0.055072953869016984,0.01662128597335178,0.000918636373280388,0.03276666875814713,0.52046783625731,12,0.05385589599609375,0.1077117919921875
regime_inflation,JITLine/oracle: k-fold > chronological,25,13,0.2506734371524807,0.12001392230989708,0.13644756934156416,0.09486497493829799,0.17064855082189528,1.0,13,0.000244140625,0.001708984375
self_deception,JITLine/BSZZ k-fold: self-scored > oracle-scored,25,13,0.416384407787321,0.1772041404955494,0.23207132959819105,0.1556317540799006,0.32155605793423797,0.978021978021978,12,0.00048828125,0.0029296875
self_deception,JITLine/BSZZ chronological: self-scored > oracle-scored,25,13,0.22394855102737884,0.15805845480759403,0.07458520270707562,0.001909628433084072,0.13515898118660052,0.6043956043956044,10,0.057373046875,0.172119140625
label_source,ORB prequential: oracle > BSZZ labels,25,13,0.11113697583266448,0.06719861192624982,0.04321082354363692,0.021248458897418353,0.06653556928582202,0.8461538461538461,11,0.004638671875,0.023193359375
phase3_repair,FP-repair > BSZZ,25,13,0.10850052982712075,0.06719861192624982,0.04021678158003042,0.016894576847208048,0.06497426101412505,0.7802197802197802,10,0.010498046875,0.0419921875
phase3_repair,FN-repair > BSZZ,25,13,0.07333634439891609,0.06719861192624982,0.003165660584186221,-0.008182817994729918,0.021659880147946488,0.2087912087912088,6,0.541748046875,0.541748046875
phase4_H1,H1: fp_filter > ORB on BSZZ,25,11,0.08520345644327489,0.0652383833427669,0.02110349266606544,-0.007534872491302795,0.0450213448836998,0.48484848484848486,7,0.1748046875,0.349609375
regime_inflation,JITLine/oracle: k-fold > chronological,50,6,0.30153675729244084,0.1823600790704265,0.12222835455767883,0.06871132017713849,0.16444016882485674,1.0,6,0.03125,0.1875
self_deception,JITLine/BSZZ k-fold: self-scored > oracle-scored,50,6,0.43841999768243745,0.21362487261897664,0.21635577926511734,0.13325988155985088,0.30905416403234043,1.0,6,0.03125,0.1875
self_deception,JITLine/BSZZ chronological: self-scored > oracle-scored,50,6,0.232665971147528,0.19564460973018508,0.05759030183779536,-0.11347960095834216,0.16695338337257568,0.23809523809523808,4,0.6875,1.0
label_source,ORB prequential: oracle > BSZZ labels,50,6,0.12407234316726566,0.08484853670139265,0.03752434627444905,0.017093987553747515,0.07217319965236872,1.0,6,0.03125,0.1875
phase3_repair,FP-repair > BSZZ,50,6,0.12400961788248915,0.08484853670139265,0.03493130767207664,0.012256901597284115,0.07298126266664463,0.8095238095238095,5,0.09375,0.28125
phase3_repair,FN-repair > BSZZ,50,6,0.0999595255491953,0.08484853670139265,0.005273441410667993,-0.010992720093605454,0.05105224522634537,0.3333333333333333,3,0.5625,1.0
