project,n_commits,n_oracle_positives,oracle_positive_rate,n_positives_train_half,n_positives_test_half,n_bszz_flagged,span_years
commons-digester,1079,19,0.0176,5,14,231,16.3
commons-codec,761,36,0.0473,23,13,270,15.4
commons-validator,598,36,0.0602,11,25,246,16.7
commons-beanutils,611,37,0.0606,23,14,229,17.5
gora,553,39,0.0705,33,6,129,8.5
commons-scxml,544,47,0.0864,31,16,177,13.2
commons-collections,1823,50,0.0274,19,31,624,17.6
commons-dbcp,1037,58,0.0559,44,14,511,17.9
commons-bcel,825,60,0.0727,35,25,115,17.2
commons-io,1142,73,0.0639,54,19,364,16.8
commons-jcs,831,88,0.1059,42,46,387,16.5
opennlp,1086,91,0.0838,45,46,75,7.4
commons-vfs,1110,114,0.1027,93,21,452,16.3
commons-net,1121,117,0.1044,82,35,188,16.5
commons-lang,2969,146,0.0492,86,60,738,16.2
commons-configuration,1838,155,0.0843,126,29,599,14.8
parquet-mr,1120,158,0.1411,72,86,309,5.9
giraph,844,163,0.1931,110,53,198,8.0
commons-compress,1630,178,0.1092,118,60,283,15.0
ant-ivy,1771,332,0.1875,218,114,735,12.6
commons-math,4026,335,0.0832,196,139,1200,14.8
