model,train_label,chronological,chronological_online,naive_kfold,prequential_latency
JITLine,AGSZZ,0.09040620813359591,,0.11640901111690018,
JITLine,BSZZ,0.13242533145368496,,0.17514251286171584,
JITLine,LSZZ,0.08036916942541747,,0.1390979495598264,
JITLine,MASZZ,0.07857975142840513,,0.12724061153707023,
JITLine,RASZZ,0.08572442475072252,,0.11636142974391359,
JITLine,RSZZ,0.0625988024887812,,0.11308415386802179,
JITLine,oracle,0.10163676434704318,,0.2429576457385668,
LApredict,AGSZZ,0.1684829259572897,,0.2003328669891201,
LApredict,BSZZ,0.16337207065225412,,0.19409551768433433,
LApredict,LSZZ,0.17061748202334462,,0.20777934682115637,
LApredict,MASZZ,0.1664240483388027,,0.19947491261340683,
LApredict,RASZZ,0.16785767157691525,,0.1999916463567327,
LApredict,RSZZ,0.17305118160121274,,0.20157627005785633,
LApredict,oracle,0.17341556684706053,,0.20577862428413407,
ORB,AGSZZ,,0.017680028786496958,,0.011690510528322515
ORB,BSZZ,,0.0766589932726029,,0.056514094394679
ORB,LSZZ,,0.008158284659015443,,0.020898524559113847
ORB,MASZZ,,0.021645625419803756,,-0.002972398866961887
ORB,RASZZ,,0.019348272287338594,,0.019105880608764184
ORB,RSZZ,,0.011413377864859072,,0.010509211717769
ORB,oracle,,0.07771601051384991,,0.06845157061127582
