project,seed,A_frozen_immediate_mcc,A_frozen_immediate_gmean,B_adaptive_immediate_mcc,B_adaptive_immediate_gmean,C_adaptive_delayed_mcc,C_adaptive_delayed_gmean
ant-ivy,7,0.0819825054832939,0.5600881668618498,0.1687533140441816,0.6088740929960119,0.17406081866248865,0.6252715072483039
ant-ivy,13,-0.014016413891325644,0.3442886560222045,0.16148893564348463,0.6031460108833557,0.17605606519528133,0.6280999841086364
ant-ivy,21,0.19630547168887727,0.5871081133258373,0.1589880904418624,0.6038990964693359,0.18791151710914478,0.636385033114218
commons-bcel,7,0.008022237546930523,0.4907389756968986,0.07561886707971262,0.5671415030978446,0.1733567780802631,0.6737340170818124
commons-bcel,13,0.14287573442107915,0.6102222005307727,0.08581501006380972,0.5747253938625955,0.17180689291796475,0.6724321143830121
commons-bcel,21,0.11746670233519903,0.5465920659851715,0.08433448029956024,0.5736481194499409,0.164196089617781,0.6658844207936315
commons-beanutils,7,0.22229111597468487,0.6607903113820892,0.11333441470717677,0.5835313241482679,0.0141662303236887,0.4908656836383828
commons-beanutils,13,0.23987236752839414,0.6659528141579788,0.07967758170432238,0.5338355837974608,0.023709722583097437,0.4982847290785427
commons-beanutils,21,0.2182075821091893,0.6594933713460015,0.1109901763096907,0.5822723554234831,0.0141662303236887,0.4908656836383828
commons-codec,7,0.17518982251826248,0.7257794794858901,0.15733265558456042,0.6842714554540208,0.07557188927241738,0.578676265917124
commons-codec,13,0.2088710992712685,0.7657215103666131,0.1590220689015402,0.6854922797171675,0.09820072825177355,0.6179789586313087
commons-codec,21,0.1808878513303304,0.731516955959455,0.16073124642193554,0.6867109336209196,0.13404051253060656,0.6656904781571013
commons-collections,7,0.10473627252011956,0.618037729060984,0.10654482237992843,0.6194579631721434,0.09381283622354653,0.6214644055746775
commons-collections,13,0.11777212390835667,0.6370587093838266,0.10473627252011956,0.618037729060984,0.10101576323813065,0.6288442245640248
commons-collections,21,0.10776269582147406,0.6204029796836854,0.10776269582147406,0.6204029796836854,0.0948250472785423,0.6225240216989052
commons-compress,7,0.15222729449044164,0.6372540429309084,0.18948082347037715,0.6540753546315775,0.16905406509914458,0.6289203756057655
commons-compress,13,0.10521368941721115,0.5487091011676354,0.19698172907873712,0.6580793513483626,0.1895154585741728,0.6494521379364292
commons-compress,21,0.08675495655678746,0.5251931212130795,0.19589468791444906,0.6575088446513111,0.17768610052587863,0.6384307472111188
