project,oracle_asis_mcc,oracle_asis_gmean,oracle_imp_mcc,oracle_imp_gmean,bszz_mcc,bszz_gmean,oracle_asis_mcc_avg,oracle_asis_gmean_avg,oracle_imp_mcc_avg,oracle_imp_gmean_avg,bszz_mcc_avg,bszz_gmean_avg
ant-ivy,0.015501847152114315,0.501481253158284,-0.03955726291635483,0.42203823688783215,-0.003718036296261786,0.49505050130525224,0.1861950014356716,0.6045090064713318,0.1802448274518691,0.596386180610142,0.1539779215484161,0.578617901668998
commons-bcel,0.17825514185851182,0.6800873594197283,0.07760843134878351,0.5715764967761574,-0.0271364446753123,0.4702907929380592,0.1684892019666072,0.595642700021848,0.0577588308837631,0.5050272975852232,0.17775926384194068,0.6160108439284583
commons-beanutils,0.0683316110705611,0.6010902372394353,0.057387047712318104,0.5730855560251559,0.0481628777174577,0.582272365991782,0.11131571656804265,0.5460890348266442,0.10866199049759913,0.5421782340333869,0.06165094456190088,0.49249839763239606
commons-codec,0.05784746874896005,0.5599778274011638,-0.011186758854387276,0.4175698468463097,0.0786910663416822,0.6110722482616072,0.08455442402776796,0.5555993993738534,0.07200774619764258,0.5397383268233635,0.026310951910463166,0.5155744314588858
commons-collections,0.16035921775914957,0.709151700849739,0.10953790170877639,0.6463615329144305,0.01600227966439727,0.5085111542359511,0.058047416131814376,0.4077347605613636,0.057839818171691405,0.40627256492391944,0.005577297440140602,0.36910455742205284
commons-compress,0.002651794942081361,0.3973645186434954,0.09516964926029689,0.6213976833876204,0.18188273465033578,0.7600359673266495,0.1389919982492019,0.5620151094924988,0.0813239390451305,0.517119980245165,0.037477211606107105,0.498650577936421
commons-configuration,0.08435136833667534,0.6522667345139536,0.09866891795622834,0.6829723404662549,-0.09038762746129253,0.1815377726079823,0.10574225415261611,0.5740507597190005,0.09284277592469145,0.5733143403363885,0.05327165602690338,0.5143696372516653
commons-dbcp,0.0012164585353028365,0.4589542711595779,0.004075286322402519,0.46767808507016095,0.02153489349534567,0.4416836537132719,0.0580623468118028,0.5148051362194095,0.05067835560246069,0.511999208111907,0.04496774724219919,0.4943502077586365
commons-digester,-0.09037240638473136,0.3783353460240693,-0.056639696332724476,0.4226098761753915,0.02463333094316296,0.5043869465201585,0.027227891635642164,0.4181528212286974,0.034013614179764215,0.43126282594285537,-0.02287196719979095,0.3771726216083352
commons-io,-0.009339651502018721,0.39008885970407686,0.00277260388694025,0.4395751867269494,0.04350861778944382,0.6145754754990382,0.04399473544170522,0.5046673649606029,0.04483712971927623,0.5085622670170459,0.0719077351793102,0.5654672948287921
commons-jcs,0.1604918157820133,0.6178318227037356,0.14845179571600667,0.6195557618491535,0.1367201052370812,0.6168784972924889,0.16471858255611407,0.6032680384366798,0.15079839546311224,0.593756467417526,0.033618339204709594,0.4824477781013292
commons-lang,0.015086191618364475,0.45885308159524774,0.02349556878232486,0.46973405502971044,0.037692101735813735,0.6322875696112921,0.06307213715630719,0.5117720480474005,0.04221169104036922,0.4969314289109167,0.06110124193606762,0.5340307106965396
commons-math,0.08306469591161722,0.5911229983828908,0.01772868694063253,0.4811256329870909,0.036972608759644546,0.5510965529394113,0.1346403462534427,0.5727168261963832,0.11763646748850329,0.560014371577053,0.08287336658327252,0.5434189817769279
commons-net,0.04010479809396382,0.512842077791142,-0.008611758173027232,0.44828243359878667,-0.0086341816161598,0.4878423925579279,0.1057510454221913,0.5213971501537731,0.06410222039911773,0.5088741866505897,0.03458432025610848,0.5016622831444163
commons-scxml,0.16525468337231833,0.6506599626353478,0.1614649518840467,0.6508702608050754,0.20233874708088634,0.6750103095123318,0.0968170145073601,0.562870624960378,0.06724533800414362,0.5466544027470678,0.06556254757972245,0.5460998795285236
commons-validator,0.09637317533614784,0.5572112804321215,0.1283525085884271,0.6094285938583164,0.0747492321886266,0.5781090882189266,0.03960489445998304,0.4204820661308225,0.05908890633528411,0.43883321492349026,-0.013406513624450282,0.43936549516009027
commons-vfs,-0.0025514084070076175,0.4875193030220012,0.0055082524487709604,0.5025687899298898,-0.024636798866310816,0.4507926299917985,0.1107465457950962,0.5706790037272498,0.09233462725540995,0.5608806415729815,0.06474575457501436,0.534046472831918
giraph,0.12819614470592672,0.5896590050175052,0.13231885991545728,0.6140805652401012,0.11618822936267743,0.5839803818610213,0.14081759971592006,0.5340208287925543,0.22362282143130993,0.6207453767558431,0.09798598705427744,0.4959266486063226
gora,0.015211372373604598,0.5168518700062228,-0.02301734386182012,0.40604128257537464,-0.04057773589994133,0.3930221729696838,0.05944418982267258,0.48147643074152313,0.016483810186308807,0.45359886716134756,0.026979786602773233,0.44848235862252556
opennlp,0.16119678194584658,0.5824257787351754,0.03888863853398573,0.5339701370609565,0.036803335289436925,0.3916688278522196,0.05799323213171838,0.4369785848876579,0.05651656060067263,0.5217309374315529,0.07308637168753931,0.5052158531685582
parquet-mr,0.10625188158739078,0.5727665455576767,0.3041112603690311,0.7006916833270266,0.3260066468475454,0.6898952586728277,0.0807169761930508,0.5344934655353748,0.08410697942321041,0.5350387605762409,0.07567549148021538,0.5128325688348714
