project,seed,model,train_label,eval_mode,regime,mcc,gmean,mcc_avg,gmean_avg
ant-ivy,21,LApredict,oracle,oracle,naive_kfold,0.31535422649271944,0.6967758161157425,,
ant-ivy,21,LApredict,oracle,oracle,chronological,0.22912833207527694,0.6621975463567292,,
ant-ivy,21,JITLine,oracle,oracle,naive_kfold,0.37188044919855695,0.7115596516844804,,
ant-ivy,21,JITLine,oracle,oracle,chronological,0.2040735520398422,0.6482374556652603,,
ant-ivy,21,ORB,oracle,oracle,prequential_latency,-0.006700708284739537,0.47442760867819966,0.22916877474397734,0.6312977468405455
ant-ivy,21,ORB,oracle,oracle,chronological_online,-0.07126494916464801,0.30262614460999393,,
ant-ivy,21,LApredict,BSZZ,oracle,naive_kfold,0.3137252530094002,0.6941618902853733,,
ant-ivy,21,LApredict,BSZZ,oracle,chronological,0.22944468158695336,0.6671891416879415,,
ant-ivy,21,JITLine,BSZZ,oracle,naive_kfold,0.2931103030221289,0.6840271304552238,,
ant-ivy,21,JITLine,BSZZ,oracle,chronological,0.2015674432374717,0.6187683606617147,,
ant-ivy,21,ORB,BSZZ,oracle,prequential_latency,-0.0045388178085104414,0.49423180928677385,0.12978377885440562,0.5646988059055583
ant-ivy,21,ORB,BSZZ,oracle,chronological_online,0.14961437075224976,0.5982658331296085,,
ant-ivy,21,LApredict,BSZZ,self,naive_kfold,0.457238040958554,0.7315041788464316,,
ant-ivy,21,LApredict,BSZZ,self,chronological,0.449330478547855,0.7301549330735867,,
ant-ivy,21,JITLine,BSZZ,self,naive_kfold,0.48670499377575527,0.7450182123175176,,
ant-ivy,21,JITLine,BSZZ,self,chronological,0.37619133099258856,0.679000791921898,,
ant-ivy,21,ORB,BSZZ,self,prequential_latency,0.19808457096081195,0.6120873299494488,0.18345636326391085,0.5772730165560338
ant-ivy,21,ORB,BSZZ,self,chronological_online,0.37419260155389633,0.6866394469492877,,
ant-ivy,21,LApredict,AGSZZ,oracle,naive_kfold,0.31314382370003385,0.6899289765492783,,
ant-ivy,21,LApredict,AGSZZ,oracle,chronological,0.22023778428127458,0.6579456393361274,,
ant-ivy,21,JITLine,AGSZZ,oracle,naive_kfold,0.22790560455152853,0.6422501407289254,,
ant-ivy,21,JITLine,AGSZZ,oracle,chronological,0.0728157938537545,0.5356146101773147,,
ant-ivy,21,ORB,AGSZZ,oracle,prequential_latency,-0.06982081289266856,0.39390243704620587,0.10715822317982542,0.5519839066052351
ant-ivy,21,ORB,AGSZZ,oracle,chronological_online,0.1551033713214863,0.5941110266675743,,
ant-ivy,21,LApredict,AGSZZ,self,naive_kfold,0.44239701845015406,0.7214754414707027,,
ant-ivy,21,LApredict,AGSZZ,self,chronological,0.43060380596191217,0.7243678494811923,,
ant-ivy,21,JITLine,AGSZZ,self,naive_kfold,0.5259342659840219,0.751266266972789,,
ant-ivy,21,JITLine,AGSZZ,self,chronological,0.3926834797657325,0.6850743294837157,,
ant-ivy,21,ORB,AGSZZ,self,prequential_latency,0.21066770182388292,0.6296425718836376,0.11265545678668287,0.5382378006953765
ant-ivy,21,ORB,AGSZZ,self,chronological_online,0.3425112834644038,0.6659185991134061,,
ant-ivy,21,LApredict,MASZZ,oracle,naive_kfold,0.31298042493698136,0.6903156863921809,,
ant-ivy,21,LApredict,MASZZ,oracle,chronological,0.22023778428127458,0.6579456393361274,,
ant-ivy,21,JITLine,MASZZ,oracle,naive_kfold,0.231793081802981,0.6453534486652478,,
ant-ivy,21,JITLine,MASZZ,oracle,chronological,0.05964285421929219,0.5307771553975709,,
ant-ivy,21,ORB,MASZZ,oracle,prequential_latency,-0.04481825700990699,0.42633573851612816,0.07048742190247402,0.5290137739333548
ant-ivy,21,ORB,MASZZ,oracle,chronological_online,0.15944976575395106,0.5957821477712681,,
