model,train_label,regime,eval_mode,mcc,mcc,mcc,gmean,gmean,gmean
,,,,mean,std,count,mean,std,count
JITLine,AGSZZ,chronological,oracle,0.09040620813359591,0.07458851658177072,210,0.5341834074172983,0.10853572022840406,210
JITLine,AGSZZ,chronological,self,0.1350862229366918,0.09649334989222559,210,0.5389276355421755,0.11261933892441045,210
JITLine,AGSZZ,naive_kfold,oracle,0.11640901111690018,0.07175097511504604,210,0.5945636780758007,0.06745478308690622,210
JITLine,AGSZZ,naive_kfold,self,0.3037289115901077,0.1290077619788677,210,0.6850551402877189,0.05026426173240184,210
JITLine,BSZZ,chronological,oracle,0.13242533145368496,0.08852311057858117,210,0.5735127347725877,0.11832424988851144,210
JITLine,BSZZ,chronological,self,0.22321080434510254,0.09952619436389577,210,0.5862049607141245,0.0958426827751366,210
JITLine,BSZZ,naive_kfold,oracle,0.17514251286171584,0.07920522851949428,210,0.6476163916629396,0.05735886409597201,210
JITLine,BSZZ,naive_kfold,self,0.41292899627137925,0.10106599646027037,210,0.7169568269201577,0.03486817561744907,210
JITLine,LSZZ,chronological,oracle,0.08036916942541747,0.07689879442837767,210,0.516696817849755,0.1325225170668817,210
JITLine,LSZZ,chronological,self,0.14824822474927318,0.08543229760386241,210,0.6114840051094556,0.10294733488056065,210
JITLine,LSZZ,naive_kfold,oracle,0.1390979495598264,0.06262081315713067,210,0.6031606568047704,0.057949914366649,210
JITLine,LSZZ,naive_kfold,self,0.24344614603957643,0.08459683666067405,210,0.6984312380691735,0.03975105643519466,210
JITLine,MASZZ,chronological,oracle,0.07857975142840513,0.08377788701795214,210,0.5117868534431259,0.1497821428198691,210
JITLine,MASZZ,chronological,self,0.13950194085702136,0.0941837826510115,210,0.5425424545561892,0.11379986753523015,210
JITLine,MASZZ,naive_kfold,oracle,0.12724061153707023,0.07040999092089303,210,0.6038442835343456,0.07378458150891644,210
JITLine,MASZZ,naive_kfold,self,0.3295210086349665,0.11413002987097107,210,0.6994131636973036,0.03701973385254456,210
JITLine,RASZZ,chronological,oracle,0.08572442475072252,0.08204759450119725,210,0.5282081437358951,0.10165030815435526,210
