project,seed,condition,n_fp_available,n_fn_available,n_labels_corrected,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,7,BSZZ,451,48,0,0.15261081444690988,0.577088136745475,0.004349781924136379,0.5054240128883946
ant-ivy,7,BSZZ_immediate,451,48,0,0.18597278309229504,0.5653131705169182,0.024298952371660645,0.5302059429045373
ant-ivy,7,BSZZ_at_window,451,48,0,0.2398429349377449,0.6312026097357729,0.2094860452970937,0.7438986820291037
ant-ivy,7,fp_repair_matched,451,48,48,0.15861523276283102,0.5848513612666751,0.01670035168031522,0.5208110476260635
ant-ivy,7,fp_repair_frac_0.25,451,48,113,0.1420245981602173,0.5754723672882872,-0.011947626496560108,0.4851057126189278
ant-ivy,7,fn_repair_frac_0.25,451,48,12,0.14806415437208417,0.5701356190036806,-0.03826122661384548,0.45226325799582867
ant-ivy,7,fp_repair_frac_0.50,451,48,226,0.14823715958063394,0.5849176285693519,-0.03973993287584592,0.44177506366232816
ant-ivy,7,fn_repair_frac_0.50,451,48,24,0.16983841051376478,0.5855640675376903,-0.0029432013462903812,0.4933370940190774
ant-ivy,7,fp_repair_frac_0.75,451,48,338,0.15185962253019783,0.569140722512478,-0.07408546851191211,0.36550600766055646
ant-ivy,7,fn_repair_frac_0.75,451,48,36,0.1284101768834556,0.5645471327905756,0.04688514582067327,0.5507940870553897
ant-ivy,7,fp_repair_frac_1.00,451,48,451,0.17582357002657137,0.5942161297364927,-0.015693541893873137,0.4468249266166787
ant-ivy,7,fn_repair_frac_1.00,451,48,48,0.11765044969545677,0.5567698910177701,-0.00990557047860894,0.48654381975198335
ant-ivy,7,fn_repair_immediate,451,48,48,0.1955339888626639,0.5638154256248467,0.01222341195957625,0.5151155068011782
ant-ivy,7,fn_repair_at_window,451,48,48,0.24650198129843753,0.6370131190447076,0.1846510131685332,0.7184806874499787
ant-ivy,13,BSZZ,451,48,0,0.1623206166077603,0.5834613296696375,-0.0024288606600655132,0.49658803114936306
ant-ivy,13,BSZZ_immediate,451,48,0,0.178478181466909,0.5581195124551588,0.05986694493454731,0.5712818898249595
ant-ivy,13,BSZZ_at_window,451,48,0,0.22677073036394024,0.6169554502361765,0.17694733400475923,0.6932842136432916
ant-ivy,13,fp_repair_matched,451,48,48,0.18586413159504828,0.5985816679183662,0.020303200851365284,0.5250937353980107
ant-ivy,13,fp_repair_frac_0.25,451,48,113,0.1289463021180813,0.5672228378294443,-0.0560644039507971,0.4267753697927287
ant-ivy,13,fn_repair_frac_0.25,451,48,12,0.13520733117710887,0.5688169522585409,-0.0688569973041563,0.4002643305828694
ant-ivy,13,fp_repair_frac_0.50,451,48,226,0.15154193525287865,0.5771474632035807,-0.009240368460534384,0.4871938055027959
ant-ivy,13,fn_repair_frac_0.50,451,48,24,0.13757202847879021,0.568371500606128,-0.018326627058460526,0.47694455854271905
ant-ivy,13,fp_repair_frac_0.75,451,48,338,0.20250815282191373,0.6121940109332118,0.008889205124491078,0.5034872855460589
ant-ivy,13,fn_repair_frac_0.75,451,48,36,0.1258460694761644,0.5626641197111931,0.0005410389704621329,0.4995067998735061
ant-ivy,13,fp_repair_frac_1.00,451,48,451,0.17899553299582577,0.5989234849674244,-0.01779941542372963,0.44654344350461406
