project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,7,symmetric,0.05,none,332,384,316,0.13062041922733678,0.5634252941012747,-0.016419809122894445,0.4579284116174692
ant-ivy,7,symmetric,0.1,none,332,434,294,0.14404194803881273,0.5711786854536427,-0.02792786205104283,0.44692994160086164
ant-ivy,7,symmetric,0.15,none,332,494,279,0.12213043573387766,0.5655672431394093,0.0011822289852324796,0.4962044011050308
ant-ivy,7,symmetric,0.2,none,332,552,261,0.07390270080565234,0.5324083094742242,-0.044987102232751056,0.4229518002536045
ant-ivy,7,symmetric,0.25,none,332,603,246,0.09902992274896076,0.5573817671326371,-0.06014992670685312,0.4008095379962683
ant-ivy,7,symmetric,0.3,none,332,666,229,0.08666170482099189,0.5508344943468281,0.031767963623091464,0.5381810020936468
ant-ivy,7,fp_heavy,0.05,none,332,372,307,0.14616975775554064,0.5684973627895757,-0.012092681099442525,0.4595550459636091
ant-ivy,7,fp_heavy,0.1,none,332,420,285,0.12363222422950673,0.5604155463772291,-0.03458288648076612,0.43803191827891097
ant-ivy,7,fp_heavy,0.15,none,332,468,263,0.09158133060232612,0.5386857174679721,-0.049170306441792044,0.4188159247867085
ant-ivy,7,fp_heavy,0.2,none,332,508,245,0.11998903400502982,0.5640218084310286,-0.022160741417770868,0.45878277694780395
ant-ivy,7,fp_heavy,0.25,none,332,556,221,0.10335052800379665,0.553463436880059,-0.02192881295533717,0.460942695909906
ant-ivy,7,fp_heavy,0.3,none,332,609,205,0.06917174507369697,0.5355891962999497,0.012772653218269777,0.5116971528156234
ant-ivy,7,mid,0.05,none,332,341,289,0.12751373683800157,0.5494449852054832,-0.05112313922338327,0.4049328630459045
ant-ivy,7,mid,0.1,none,332,353,251,0.12360917574916347,0.550572663467766,-0.02895302533967252,0.4325592968040795
ant-ivy,7,mid,0.15,none,332,370,219,0.09778371702669661,0.5396705641657347,-0.03812903811340207,0.43175974358914954
ant-ivy,7,mid,0.2,none,332,393,184,0.06903719340352511,0.5214840931993994,-0.029861698546658703,0.45125669637261245
ant-ivy,7,mid,0.25,none,332,398,146,0.06909050894467077,0.5304666308785175,0.041402783715430505,0.551076041927938
ant-ivy,7,mid,0.3,none,332,427,113,0.01324338073693967,0.4923977310890484,0.0011709432379053422,0.49683416867838737
ant-ivy,7,fn_heavy,0.05,none,332,286,263,0.13387566707567106,0.5547210526136814,-0.00759018779996122,0.4482623208348847
ant-ivy,7,fn_heavy,0.1,none,332,254,205,0.09758776797564542,0.524271516307492,-0.05203668384123676,0.4026085497147102
ant-ivy,7,fn_heavy,0.15,none,332,213,141,0.09750506437325035,0.5293285863463519,-0.026720138396944332,0.4603824712435101
ant-ivy,7,fn_heavy,0.2,none,332,185,84,0.07726040624374868,0.5152342021180226,-0.048041202756720185,0.4223692947091139
ant-ivy,7,fn_heavy,0.25,none,332,143,19,-0.021321733962798448,0.44489257149630757,-0.10203309081529596,0.2769427761604444
ant-ivy,7,fn_heavy,0.3,none,332,146,0,-0.06744621272797685,0.4150993060014553,-0.08035867119501752,0.35856313278592156
ant-ivy,13,symmetric,0.05,none,332,393,311,0.1805446092346736,0.5972084780133068,0.04757066505661843,0.5274322111111406
ant-ivy,13,symmetric,0.1,none,332,466,299,0.11808336654206761,0.554495359616012,0.004857897096257111,0.49078247816691
ant-ivy,13,symmetric,0.15,none,332,516,282,0.08940294060726602,0.5448319690845722,0.02179137334382207,0.5217122777632256
ant-ivy,13,symmetric,0.2,none,332,561,268,0.10869661389869897,0.556748773018408,-0.04939003128793589,0.412935840974681
ant-ivy,13,symmetric,0.25,none,332,623,257,0.07540515960815763,0.5370615263078171,-0.029914497470394145,0.4381327488600837
ant-ivy,13,symmetric,0.3,none,332,698,248,0.06659260357472578,0.5384098015726166,0.04450697317260176,0.5535628009950375
ant-ivy,13,fp_heavy,0.05,none,332,388,308,0.16706176555151686,0.5868299780135011,0.03365318994704812,0.5084938387680911
ant-ivy,13,fp_heavy,0.1,none,332,447,287,0.12974071472199977,0.5600645694357921,0.0008324029004217792,0.48478199893481705
ant-ivy,13,fp_heavy,0.15,none,332,492,270,0.12792853299567553,0.5712364734390529,0.08899934715859271,0.60834328692041
ant-ivy,13,fp_heavy,0.2,none,332,535,256,0.13383956090217436,0.5723683167017585,-0.0039860390397242216,0.4710542810091832
ant-ivy,13,fp_heavy,0.25,none,332,590,243,0.08303881864567732,0.5410669329534876,-0.030684519997247257,0.4341633100726183
ant-ivy,13,fp_heavy,0.3,none,332,637,214,0.046351677602134315,0.5187200710923375,0.032633636614393835,0.5345092625330685
ant-ivy,13,mid,0.05,none,332,356,291,0.1669689974732645,0.5847296401593296,-0.03845629219726758,0.3875594920776367
ant-ivy,13,mid,0.1,none,332,382,265,0.12512101171208112,0.5607752608536606,0.025748328631460718,0.5225559858233251
ant-ivy,13,mid,0.15,none,332,412,238,0.0981683580160922,0.5431673342032481,-0.0478022612866192,0.40133347668442426
ant-ivy,13,mid,0.2,none,332,415,191,0.07369847446706883,0.5321236238781469,-0.016374313446417165,0.4612329370814798
ant-ivy,13,mid,0.25,none,332,419,153,0.08978565480856346,0.5354132306712702,-0.041464077481131026,0.41702044434120605
ant-ivy,13,mid,0.3,none,332,430,111,0.04528446127750022,0.5068119761791638,-0.06088497540189444,0.3849993934497529
ant-ivy,13,fn_heavy,0.05,none,332,296,270,0.18924247462081545,0.5946109939850567,0.05061819523995042,0.5334888541930551
ant-ivy,13,fn_heavy,0.1,none,332,276,214,0.13061131606440654,0.5498110103701879,-0.10016264494376181,0.3046480978330438
ant-ivy,13,fn_heavy,0.15,none,332,232,146,0.07568607963428653,0.5090718882624845,-0.06985191581658895,0.291603040380986
ant-ivy,13,fn_heavy,0.2,none,332,193,79,0.01336863802469631,0.468942668780009,-0.04897448844153534,0.40393385836534423
ant-ivy,13,fn_heavy,0.25,none,332,154,8,-0.03877573166758958,0.4315286917692221,-0.049682104163344946,0.38192505512268726
ant-ivy,13,fn_heavy,0.3,none,332,172,0,-0.08168564579465647,0.4011369088014547,-0.015838030779341764,0.4565490081849885
ant-ivy,21,symmetric,0.05,none,332,404,314,0.1663644452876588,0.5852743610058423,-0.026281006192081922,0.42822136608122635
ant-ivy,21,symmetric,0.1,none,332,441,293,0.14331109810328824,0.5728581979241131,0.05170042857140864,0.5538763209122068
ant-ivy,21,symmetric,0.15,none,332,492,279,0.13887403004392387,0.5768483702597607,0.018095553912664757,0.5119351564696811
ant-ivy,21,symmetric,0.2,none,332,543,266,0.14354185932652072,0.590535842119306,0.13595300139076152,0.6640644191017544
ant-ivy,21,symmetric,0.25,none,332,597,252,0.1508714112331334,0.5919628285459982,0.1309405630933889,0.6583196702637688
ant-ivy,21,symmetric,0.3,none,332,661,235,0.07410289257521337,0.5408588121640875,0.09107621708021527,0.6115625528055489
ant-ivy,21,fp_heavy,0.05,none,332,396,310,0.16884176009374594,0.5810607821582163,-0.036763813256927395,0.4179755464209525
ant-ivy,21,fp_heavy,0.1,none,332,422,284,0.1390434695217278,0.5727990724116828,0.06059588082978633,0.5702302241428074
ant-ivy,21,fp_heavy,0.15,none,332,466,268,0.1409133558903531,0.5797233468431849,0.08722378565406043,0.6057996484313191
ant-ivy,21,fp_heavy,0.2,none,332,514,251,0.12766064803751753,0.5733355808776515,0.10761491140739075,0.6293351652280145
ant-ivy,21,fp_heavy,0.25,none,332,552,227,0.12857976226954418,0.5778800117236251,0.1503347651588901,0.6800253921804779
ant-ivy,21,fp_heavy,0.3,none,332,614,213,0.052845016831785316,0.52772889881851,0.07864867133993735,0.5967905401773066
ant-ivy,21,mid,0.05,none,332,354,289,0.157485025763034,0.5824567135627164,0.11330051550975005,0.6252893916893659
ant-ivy,21,mid,0.1,none,332,372,258,0.1403630287954435,0.5691969450221783,0.07876933717045023,0.5910416028214038
ant-ivy,21,mid,0.15,none,332,380,225,0.12987712761701015,0.5676381846526861,0.054010689538230156,0.562178111075217
ant-ivy,21,mid,0.2,none,332,399,194,0.1014945091898464,0.5504551592139043,-0.046424528934570726,0.4056426367449897
ant-ivy,21,mid,0.25,none,332,408,155,0.07617715613476929,0.5326630328228013,0.08397462516849885,0.5986183276443332
ant-ivy,21,mid,0.3,none,332,423,120,0.06815259100357177,0.5309437961394573,0.0896914489021249,0.6096419275944258
ant-ivy,21,fn_heavy,0.05,none,332,298,268,0.16321915854747032,0.5817544247341647,0.043370988776222974,0.5065249989133755
ant-ivy,21,fn_heavy,0.1,none,332,277,213,0.14447310060689977,0.5723276572549355,0.09197648673379066,0.6083838188673785
ant-ivy,21,fn_heavy,0.15,none,332,245,149,0.12601929077575388,0.5588675045719846,0.03925040170640142,0.5381980766510934
ant-ivy,21,fn_heavy,0.2,none,332,199,85,0.047034596425248425,0.49249919134022985,0.017372183685022812,0.5110512773735956
ant-ivy,21,fn_heavy,0.25,none,332,154,19,-0.057067064213347764,0.4095205377036555,-0.040735078096680914,0.4386282785790632
ant-ivy,21,fn_heavy,0.3,none,332,151,0,-0.050602993594012144,0.4218044940564946,0.06357070954085989,0.5778715151414453
ant-ivy,42,symmetric,0.05,none,332,377,314,0.17126397353413336,0.5932054400427248,0.1389006234798115,0.6451122373880775
ant-ivy,42,symmetric,0.1,none,332,422,295,0.14610102153306037,0.5784253077528467,0.08374573343947794,0.5930657396272002
ant-ivy,42,symmetric,0.15,none,332,487,274,0.13602370436718955,0.5690097724155552,0.05365367136271691,0.5595138819681795
ant-ivy,42,symmetric,0.2,none,332,561,262,0.09722866073412798,0.552714774559561,0.07607543600976481,0.5917120465498973
ant-ivy,42,symmetric,0.25,none,332,615,245,0.09674541402936833,0.5582249174297069,0.06964456010728792,0.5853336844523903
ant-ivy,42,symmetric,0.3,none,332,662,230,0.08459352933228474,0.5480679265663311,0.0710890095702395,0.5864044061017634
ant-ivy,42,fp_heavy,0.05,none,332,364,307,0.16381316147576402,0.5824552997743607,0.12811271248519857,0.6326926740930446
ant-ivy,42,fp_heavy,0.1,none,332,400,287,0.1803046632077721,0.6012693095597077,0.10151049087006099,0.612417779361928
ant-ivy,42,fp_heavy,0.15,none,332,464,265,0.11330875955410086,0.5593987131279408,0.07952669159799618,0.5933588243327186
ant-ivy,42,fp_heavy,0.2,none,332,514,241,0.08439107137524024,0.5422128636971625,0.06322386248308864,0.5736014643390952
ant-ivy,42,fp_heavy,0.25,none,332,568,223,0.06399256382767932,0.5347380501841628,0.07034951096496952,0.5857070347824868
ant-ivy,42,fp_heavy,0.3,none,332,604,198,0.05708259670263694,0.527855465485955,0.028346123411576406,0.5305597962781438
ant-ivy,42,mid,0.05,none,332,330,292,0.15378940994381796,0.579336720240955,0.1262920375467082,0.6379994040327864
ant-ivy,42,mid,0.1,none,332,351,257,0.16112128599044692,0.5833627928202194,0.10332324718467233,0.6092246181182143
ant-ivy,42,mid,0.15,none,332,355,216,0.11840418456200132,0.5508989880989734,0.08524544384658941,0.591459076381907
ant-ivy,42,mid,0.2,none,332,380,179,0.08343035695969916,0.5345911687438967,0.06021282386005403,0.5694356389254644
ant-ivy,42,mid,0.25,none,332,406,140,0.09509883945918983,0.5486878747074401,0.099062878605666,0.6211318239235589
ant-ivy,42,mid,0.3,none,332,431,106,0.06391433126004804,0.5258214821117434,0.0679000425201366,0.5811819761141711
ant-ivy,42,fn_heavy,0.05,none,332,283,265,0.16779190282083506,0.58436925792521,0.03517532184430032,0.51964722871661
ant-ivy,42,fn_heavy,0.1,none,332,234,198,0.14468890765870612,0.5582349772950416,0.1150155829163235,0.6338887446449639
ant-ivy,42,fn_heavy,0.15,none,332,205,136,0.12649365765736148,0.5538154568112025,0.15049965097220058,0.6794715714121152
ant-ivy,42,fn_heavy,0.2,none,332,159,68,0.07172756369089137,0.5138492460869392,0.10092771736785766,0.6124948335393487
ant-ivy,42,fn_heavy,0.25,none,332,114,10,-0.06116945849102001,0.4041041349410183,0.07259263875520047,0.5849402656233906
ant-ivy,42,fn_heavy,0.3,none,332,132,0,-0.020994083789072665,0.44176108848871265,-0.000641847482540656,0.48516821104945146
ant-ivy,77,symmetric,0.05,none,332,390,326,0.1874754065532427,0.6036816013018357,0.06228430230575377,0.5516832879256937
ant-ivy,77,symmetric,0.1,none,332,453,306,0.14487204294539457,0.5706057239278194,-0.04542227888449417,0.4142004447139411
ant-ivy,77,symmetric,0.15,none,332,511,286,0.0938749544957761,0.5378372155882147,-0.03765519302013019,0.41976040922915975
ant-ivy,77,symmetric,0.2,none,332,576,277,0.08273697522110791,0.538887978407732,0.004022704725972923,0.49904869331042667
