project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,7,symmetric,0.05,uniform,332,384,316,0.17561647587082077,0.5809758111536315,0.05284775530878968,0.5192561929085684
ant-ivy,7,symmetric,0.05,real,332,384,316,0.1453524184372772,0.5722359035163653,-0.08282093317641805,0.36410013432390004
ant-ivy,7,symmetric,0.1,uniform,332,434,294,0.20552908486162147,0.604467059749327,0.0003897197331376063,0.4828327098123401
ant-ivy,7,symmetric,0.1,real,332,434,294,0.1581255880946061,0.5869569006561208,-0.03693798027183234,0.4456458979549352
ant-ivy,7,symmetric,0.15,uniform,332,494,279,0.1411096366687618,0.5620972122862385,-0.055770248906069436,0.427011822549848
ant-ivy,7,symmetric,0.15,real,332,494,279,0.10125720487111171,0.5485039893528437,-0.09817935153315174,0.3566979429929855
ant-ivy,7,symmetric,0.2,uniform,332,552,261,0.0930920385152857,0.535657493667531,-0.048581921186665,0.4340738916408605
ant-ivy,7,symmetric,0.2,real,332,552,261,0.03951985643636128,0.5094247568307051,-0.0967100967157654,0.37591488697488723
ant-ivy,7,symmetric,0.25,uniform,332,603,246,0.08067957470988556,0.5274303348466884,-0.005247077801686293,0.4930192873708192
ant-ivy,7,symmetric,0.25,real,332,603,246,0.09868285275778811,0.5526234676891957,-0.012931361985749845,0.4838446401484216
ant-ivy,7,symmetric,0.3,uniform,332,666,229,0.08447317482273925,0.5325688944600837,0.05035172308335635,0.556701925320821
ant-ivy,7,symmetric,0.3,real,332,666,229,0.07283234443921721,0.5247669774914424,-0.10454762506785074,0.3483148281070513
ant-ivy,7,fp_heavy,0.05,uniform,332,372,307,0.16125913221103189,0.570477662729914,0.040600532616128844,0.4974330841243689
ant-ivy,7,fp_heavy,0.05,real,332,372,307,0.15996008609898674,0.5848170658017495,-0.07069104518818113,0.3849161147008646
ant-ivy,7,fp_heavy,0.1,uniform,332,420,285,0.16352282702728257,0.5757466240396364,-0.035754365147173624,0.4306843417981983
ant-ivy,7,fp_heavy,0.1,real,332,420,285,0.1475026442674845,0.5840531111398856,0.022510844142493304,0.5279881554624632
ant-ivy,7,fp_heavy,0.15,uniform,332,468,263,0.11283349851199573,0.5454061632993409,-0.016275597904742454,0.4498836450508071
ant-ivy,7,fp_heavy,0.15,real,332,468,263,0.08845943076512376,0.5349928985021206,-0.053378780416414195,0.4267846127504512
ant-ivy,7,fp_heavy,0.2,uniform,332,508,245,0.07908214148281797,0.5240525968525745,0.004514233130480533,0.5055118772022653
ant-ivy,7,fp_heavy,0.2,real,332,508,245,0.10709228596714288,0.5551699654808433,0.014070702312005844,0.5171145436448306
ant-ivy,7,fp_heavy,0.25,uniform,332,556,221,0.07576231678919744,0.5262466955278674,0.03599346916396886,0.5380309038129215
ant-ivy,7,fp_heavy,0.25,real,332,556,221,0.03955441178551871,0.5070358533099762,0.003179065854997304,0.501309378506952
ant-ivy,7,fp_heavy,0.3,uniform,332,609,205,0.03768820803102501,0.5066085908966359,0.035131623497646924,0.5412013571025402
ant-ivy,7,fp_heavy,0.3,real,332,609,205,0.06386938726529093,0.5229469777444601,-0.03872898318742657,0.4479901890039904
ant-ivy,7,mid,0.05,uniform,332,341,289,0.20061427236299062,0.598269156187319,0.009921689677604833,0.4958236232872054
ant-ivy,7,mid,0.05,real,332,341,289,0.16048581067835083,0.585597309222877,-0.013069736847626136,0.47812673688987406
ant-ivy,7,mid,0.1,uniform,332,353,251,0.14736616192332652,0.5592794160254793,-0.009796616791802605,0.4130577382411504
ant-ivy,7,mid,0.1,real,332,353,251,0.1264060829102005,0.5650795069165959,-0.09920999440277213,0.36731657865673856
ant-ivy,7,mid,0.15,uniform,332,370,219,0.1282033575106385,0.5593816178313846,-0.0023906895934795113,0.4807186533558364
ant-ivy,7,mid,0.15,real,332,370,219,0.07348495995609808,0.5229679684383386,-0.12841858636859632,0.28695864747135735
ant-ivy,7,mid,0.2,uniform,332,393,184,0.07959430890506494,0.5304404634928366,-0.0207483854046759,0.47368699435218037
