profile,dose,pos,lam,retained,spearman_rho_pos_vs_lambda
fn_heavy,0.05,112.6333,34.468,79.9476,-1.0
fn_heavy,0.1,115.8905,32.0874,48.9095,-1.0
fn_heavy,0.15,121.3762,30.0596,20.2857,-1.0
fn_heavy,0.2,141.5476,27.1185,6.1619,-1.0
fn_heavy,0.25,171.1571,23.171,1.0952,-1.0
fn_heavy,0.3,204.3667,19.8671,0.0,-1.0
fp_heavy,0.05,161.081,24.5899,104.1714,-1.0
fp_heavy,0.1,211.1095,18.247,96.4095,-1.0
fp_heavy,0.15,263.4524,14.0228,89.3238,-1.0
fp_heavy,0.2,311.9714,12.0674,82.1048,-1.0
fp_heavy,0.25,361.3143,10.0708,74.2714,-1.0
fp_heavy,0.3,414.5619,8.736,66.7762,-1.0
mid,0.05,148.0952,25.8503,96.9381,-1.0
mid,0.1,183.2905,20.391,83.0571,-1.0
mid,0.15,220.3095,16.8484,68.1952,-1.0
mid,0.2,257.4333,14.5501,54.1571,-1.0
mid,0.25,294.0429,12.6958,40.5333,-1.0
mid,0.3,330.6905,11.2995,25.8333,-1.0
symmetric,0.05,164.1714,23.7389,105.8619,-1.0
symmetric,0.1,218.5524,17.3685,100.1333,-1.0
symmetric,0.15,273.181,13.6573,94.3381,-1.0
symmetric,0.2,326.1048,11.321,88.919,-1.0
symmetric,0.25,379.3857,9.6994,83.619,-1.0
symmetric,0.3,436.1905,8.2958,77.6286,-1.0
