metric,scope,profile,latency,n_doses_fitted,max_dose_fitted,per_10pct_dose
mcc_avg,non_degenerate,fn_heavy,real,5,0.25,-0.0363
mcc_avg,non_degenerate,fn_heavy,uniform,5,0.25,-0.037
mcc_avg,non_degenerate,fp_heavy,real,6,0.3,-0.0204
mcc_avg,non_degenerate,fp_heavy,uniform,6,0.3,-0.0197
mcc_avg,non_degenerate,mid,real,6,0.3,-0.0247
mcc_avg,non_degenerate,mid,uniform,6,0.3,-0.0225
mcc_avg,non_degenerate,symmetric,real,6,0.3,-0.0222
mcc_avg,non_degenerate,symmetric,uniform,6,0.3,-0.0177
mcc_avg,all_doses,fn_heavy,real,6,0.3,-0.0328
mcc_avg,all_doses,fn_heavy,uniform,6,0.3,-0.0327
mcc_avg,all_doses,fp_heavy,real,6,0.3,-0.0204
mcc_avg,all_doses,fp_heavy,uniform,6,0.3,-0.0197
mcc_avg,all_doses,mid,real,6,0.3,-0.0247
mcc_avg,all_doses,mid,uniform,6,0.3,-0.0225
mcc_avg,all_doses,symmetric,real,6,0.3,-0.0222
mcc_avg,all_doses,symmetric,uniform,6,0.3,-0.0177
mcc,non_degenerate,fn_heavy,real,5,0.25,-0.0276
mcc,non_degenerate,fn_heavy,uniform,5,0.25,-0.0279
mcc,non_degenerate,fp_heavy,real,6,0.3,-0.0135
mcc,non_degenerate,fp_heavy,uniform,6,0.3,-0.0144
mcc,non_degenerate,mid,real,6,0.3,-0.0194
mcc,non_degenerate,mid,uniform,6,0.3,-0.0161
mcc,non_degenerate,symmetric,real,6,0.3,-0.0144
mcc,non_degenerate,symmetric,uniform,6,0.3,-0.0125
mcc,all_doses,fn_heavy,real,6,0.3,-0.0217
mcc,all_doses,fn_heavy,uniform,6,0.3,-0.0241
mcc,all_doses,fp_heavy,real,6,0.3,-0.0135
mcc,all_doses,fp_heavy,uniform,6,0.3,-0.0144
mcc,all_doses,mid,real,6,0.3,-0.0194
mcc,all_doses,mid,uniform,6,0.3,-0.0161
mcc,all_doses,symmetric,real,6,0.3,-0.0144
mcc,all_doses,symmetric,uniform,6,0.3,-0.0125
