project,seed,condition,model,held_out,mcc_avg,gmean_avg,mcc,gmean,n_seen,n_pos_seen,n_filtered,filter_rate,filter_active_from,mean_lambda_pos
ant-ivy,7,oracle,OOB,False,0.17425278739698374,0.5894919593378418,-0.04693496897568708,0.3967556490082214,,,,,,
ant-ivy,7,oracle,ORB,False,0.16527535191436443,0.5910242942440738,-0.008328049077056136,0.47140299605177927,,,,,,
ant-ivy,7,oracle,NA(fp_filter),False,0.20929816214184319,0.5948503164526666,0.10082739662078569,0.5615452309988692,1876.0,313.0,85.0,0.2715654952076677,116.0,23.399543653239377
ant-ivy,7,oracle,NA(fp_filter/suppress),False,0.2378792229579086,0.6110963836646818,0.0460033208141421,0.5184763460544323,1876.0,313.0,92.0,0.2939297124600639,116.0,31.0399481787837
ant-ivy,7,oracle,NA(damp),False,0.22655341915943406,0.6277549507439835,0.03363899205604129,0.5032447335792832,,,,,,
ant-ivy,7,oracle,NA(rescue),False,0.2300822046092986,0.6279320032927089,0.006091285018611995,0.5020606811677645,,,,,,
ant-ivy,7,BSZZ,OOB,False,0.15709196173105527,0.5689070696671825,-0.0360541705854439,0.4551425041287338,,,,,,
ant-ivy,7,BSZZ,ORB,False,0.15261081444690988,0.577088136745475,0.004349781924136379,0.5054240128883946,,,,,,
ant-ivy,7,BSZZ,NA(fp_filter),False,0.17952814539222017,0.5903427996520112,0.015356580027466931,0.5111752385273248,2097.0,735.0,223.0,0.3034013605442177,87.0,8.998724853460985
ant-ivy,7,BSZZ,NA(fp_filter/suppress),False,0.20821014408589816,0.6107761935611079,0.027123226542623086,0.5331308115938908,2097.0,735.0,224.0,0.3047619047619048,87.0,11.132182305222814
ant-ivy,7,BSZZ,NA(damp),False,0.1884695902859557,0.5903373104190341,-0.03350613066528683,0.45775935210983243,,,,,,
ant-ivy,7,BSZZ,NA(rescue),False,0.16090505224996396,0.5764352370223741,0.01934680803127274,0.5081330933920087,,,,,,
ant-ivy,7,AGSZZ,OOB,False,0.11918271877829914,0.5449980741424514,-0.04613004870528217,0.42284125128227923,,,,,,
ant-ivy,7,AGSZZ,ORB,False,0.12379190207545823,0.5681063902852005,-0.028106904169550813,0.4589748627987719,,,,,,
ant-ivy,7,AGSZZ,NA(fp_filter),False,0.10900547782692539,0.5452261488871304,-0.03106783792583997,0.4160602679586424,2255.0,837.0,216.0,0.25806451612903225,86.0,8.024024988002756
ant-ivy,7,AGSZZ,NA(fp_filter/suppress),False,0.14076670521677934,0.5734041102710137,0.03664636697725129,0.5424693253440522,2255.0,837.0,232.0,0.27718040621266427,86.0,9.217213069402206
ant-ivy,7,AGSZZ,NA(damp),False,0.15875951583834544,0.5797772689777402,-0.03199637923572825,0.4327904405872314,,,,,,
ant-ivy,7,AGSZZ,NA(rescue),False,0.13625709657496662,0.5584692044494767,0.015632693768446903,0.519406100597636,,,,,,
ant-ivy,7,MASZZ,OOB,False,0.10651143095852858,0.5335002219792058,-0.0412533198479649,0.4221546723115816,,,,,,
ant-ivy,7,MASZZ,ORB,False,0.06745309717209755,0.527119476270142,-0.03197338168339535,0.4350688373211243,,,,,,
ant-ivy,7,MASZZ,NA(fp_filter),False,0.11776691776121771,0.5459414685996553,-0.03419670037987438,0.40657259614293756,2259.0,837.0,255.0,0.3046594982078853,86.0,8.582944691306084
ant-ivy,7,MASZZ,NA(fp_filter/suppress),False,0.0990981521210356,0.5495017192470195,-0.022116227848895144,0.447744216100683,2259.0,837.0,214.0,0.25567502986857826,86.0,8.614298781036382
ant-ivy,7,MASZZ,NA(damp),False,0.18011709885721347,0.5908793440175844,-0.0386574930851625,0.43194689294461547,,,,,,
ant-ivy,7,MASZZ,NA(rescue),False,0.10933195934758923,0.5442621378250987,-0.012571909662581749,0.48319796514170765,,,,,,
ant-ivy,7,LSZZ,OOB,False,0.1342335514446164,0.5592110799571265,-0.039842063389233344,0.41391397306524835,,,,,,
ant-ivy,7,LSZZ,ORB,False,0.09198138940667422,0.5390032466887612,-0.003181963183223678,0.47623198229487973,,,,,,
ant-ivy,7,LSZZ,NA(fp_filter),False,0.15779313580394122,0.5640486920539566,-0.032722270339299094,0.40221260557434985,1870.0,277.0,65.0,0.23465703971119134,96.0,23.558624310409044
ant-ivy,7,LSZZ,NA(fp_filter/suppress),False,0.17017984615729778,0.5726965693706195,0.03725180487665246,0.5101223690963057,1870.0,277.0,71.0,0.2563176895306859,96.0,25.084582023788897
ant-ivy,7,LSZZ,NA(damp),False,0.16789261356713253,0.5813204884958462,-0.019111541909760145,0.4162463737446482,,,,,,
