cfg_wo_ru,condition,observed,suppress,observed_minus_suppress
fixed/tau=0.15|eps=0.0|minpos=20.0,BSZZ,0.10212462217219435,0.10565293983941479,-0.0035283176672204347
fixed/tau=0.15|eps=0.0|minpos=20.0,LSZZ,0.0622441367682643,0.05116070369474605,0.01108343307351825
fixed/tau=0.15|eps=0.0|minpos=20.0,MASZZ,0.07031959852629587,0.07521963469052441,-0.004900036164228544
fixed/tau=0.15|eps=0.0|minpos=20.0,oracle,0.008075402376133923,0.01129224936616444,-0.0032168469900305165
fixed/tau=0.15|eps=0.0|minpos=30.0,BSZZ,0.10212462217219435,0.10565293983941479,-0.0035283176672204347
fixed/tau=0.15|eps=0.0|minpos=30.0,LSZZ,0.0622441367682643,0.05116070369474605,0.01108343307351825
fixed/tau=0.15|eps=0.0|minpos=30.0,MASZZ,0.07031959852629587,0.07521963469052441,-0.004900036164228544
fixed/tau=0.15|eps=0.0|minpos=30.0,oracle,0.008075402376133923,0.01129224936616444,-0.0032168469900305165
fixed/tau=0.15|eps=0.0|minpos=50.0,BSZZ,0.10212462217219435,0.10565293983941479,-0.0035283176672204347
fixed/tau=0.15|eps=0.0|minpos=50.0,LSZZ,0.0622441367682643,0.05116070369474605,0.01108343307351825
fixed/tau=0.15|eps=0.0|minpos=50.0,MASZZ,0.07031959852629587,0.07521963469052441,-0.004900036164228544
fixed/tau=0.15|eps=0.0|minpos=50.0,oracle,0.008075402376133923,0.01129224936616444,-0.0032168469900305165
fixed/tau=0.15|eps=0.1|minpos=20.0,BSZZ,0.11028094270131644,0.11255421638170952,-0.0022732736803930814
fixed/tau=0.15|eps=0.1|minpos=20.0,LSZZ,0.06719660297140176,0.06410878497709428,0.0030878179943074763
fixed/tau=0.15|eps=0.1|minpos=20.0,MASZZ,0.07364381757224389,0.07757213327966922,-0.003928315707425328
fixed/tau=0.15|eps=0.1|minpos=20.0,oracle,0.04330252741463502,0.04526832350112953,-0.0019657960864945118
fixed/tau=0.15|eps=0.1|minpos=30.0,BSZZ,0.11028094270131644,0.11255421638170952,-0.0022732736803930814
fixed/tau=0.15|eps=0.1|minpos=30.0,LSZZ,0.06719660297140176,0.06410878497709428,0.0030878179943074763
fixed/tau=0.15|eps=0.1|minpos=30.0,MASZZ,0.07364381757224389,0.07757213327966922,-0.003928315707425328
fixed/tau=0.15|eps=0.1|minpos=30.0,oracle,0.04330252741463502,0.04526832350112953,-0.0019657960864945118
fixed/tau=0.15|eps=0.1|minpos=50.0,BSZZ,0.11028094270131644,0.11255421638170952,-0.0022732736803930814
fixed/tau=0.15|eps=0.1|minpos=50.0,LSZZ,0.06719660297140176,0.06410878497709428,0.0030878179943074763
fixed/tau=0.15|eps=0.1|minpos=50.0,MASZZ,0.07364381757224389,0.07757213327966922,-0.003928315707425328
fixed/tau=0.15|eps=0.1|minpos=50.0,oracle,0.04330252741463502,0.04526832350112953,-0.0019657960864945118
fixed/tau=0.25|eps=0.0|minpos=20.0,BSZZ,0.09058209092131837,0.09711650738935913,-0.00653441646804076
fixed/tau=0.25|eps=0.0|minpos=20.0,LSZZ,0.05640929627763163,0.05689234698832942,-0.00048305071069779104
fixed/tau=0.25|eps=0.0|minpos=20.0,MASZZ,0.06872324085226995,0.0776626070392111,-0.008939366186941147
fixed/tau=0.25|eps=0.0|minpos=20.0,oracle,-0.0007200712822709833,0.00198575904657084,-0.0027058303288418233
fixed/tau=0.25|eps=0.0|minpos=30.0,BSZZ,0.09058209092131837,0.09711650738935913,-0.00653441646804076
fixed/tau=0.25|eps=0.0|minpos=30.0,LSZZ,0.05640929627763163,0.05689234698832942,-0.00048305071069779104
fixed/tau=0.25|eps=0.0|minpos=30.0,MASZZ,0.06872324085226995,0.0776626070392111,-0.008939366186941147
fixed/tau=0.25|eps=0.0|minpos=30.0,oracle,-0.0007200712822709833,0.00198575904657084,-0.0027058303288418233
fixed/tau=0.25|eps=0.0|minpos=50.0,BSZZ,0.09058209092131837,0.09711650738935913,-0.00653441646804076
fixed/tau=0.25|eps=0.0|minpos=50.0,LSZZ,0.05640929627763163,0.05689234698832942,-0.00048305071069779104
fixed/tau=0.25|eps=0.0|minpos=50.0,MASZZ,0.06872324085226995,0.0776626070392111,-0.008939366186941147
fixed/tau=0.25|eps=0.0|minpos=50.0,oracle,-0.0007200712822709833,0.00198575904657084,-0.0027058303288418233
fixed/tau=0.25|eps=0.1|minpos=20.0,BSZZ,0.10209194608464547,0.11112856098961146,-0.00903661490496599
fixed/tau=0.25|eps=0.1|minpos=20.0,LSZZ,0.06728661356160101,0.07483214734901131,-0.007545533787410297
fixed/tau=0.25|eps=0.1|minpos=20.0,MASZZ,0.06736100744317677,0.08875532102593871,-0.021394313582761934
fixed/tau=0.25|eps=0.1|minpos=20.0,oracle,0.012023183036223862,0.014276560211286555,-0.0022533771750626926
fixed/tau=0.25|eps=0.1|minpos=30.0,BSZZ,0.10209194608464547,0.11112856098961146,-0.00903661490496599
fixed/tau=0.25|eps=0.1|minpos=30.0,LSZZ,0.06728661356160101,0.07483214734901131,-0.007545533787410297
fixed/tau=0.25|eps=0.1|minpos=30.0,MASZZ,0.06736100744317677,0.08875532102593871,-0.021394313582761934
fixed/tau=0.25|eps=0.1|minpos=30.0,oracle,0.012023183036223862,0.014276560211286555,-0.0022533771750626926
fixed/tau=0.25|eps=0.1|minpos=50.0,BSZZ,0.10209194608464547,0.11112856098961146,-0.00903661490496599
fixed/tau=0.25|eps=0.1|minpos=50.0,LSZZ,0.06728661356160101,0.07483214734901131,-0.007545533787410297
fixed/tau=0.25|eps=0.1|minpos=50.0,MASZZ,0.06736100744317677,0.08875532102593871,-0.021394313582761934
fixed/tau=0.25|eps=0.1|minpos=50.0,oracle,0.012023183036223862,0.014276560211286555,-0.0022533771750626926
fixed/tau=0.35|eps=0.0|minpos=20.0,BSZZ,0.06504383890288552,0.06114604967353433,0.0038977892293511895
fixed/tau=0.35|eps=0.0|minpos=20.0,LSZZ,0.04050015611898887,0.04883217861720059,-0.008332022498211723
fixed/tau=0.35|eps=0.0|minpos=20.0,MASZZ,0.06014554426322146,0.06693704354952003,-0.006791499286298568
fixed/tau=0.35|eps=0.0|minpos=20.0,oracle,-0.002455302852054203,0.0008915029773223938,-0.003346805829376597
fixed/tau=0.35|eps=0.0|minpos=30.0,BSZZ,0.06504383890288552,0.06114604967353433,0.0038977892293511895
fixed/tau=0.35|eps=0.0|minpos=30.0,LSZZ,0.04050015611898887,0.04883217861720059,-0.008332022498211723
fixed/tau=0.35|eps=0.0|minpos=30.0,MASZZ,0.06014554426322146,0.06693704354952003,-0.006791499286298568
fixed/tau=0.35|eps=0.0|minpos=30.0,oracle,-0.002455302852054203,0.0008915029773223938,-0.003346805829376597
fixed/tau=0.35|eps=0.0|minpos=50.0,BSZZ,0.06504383890288552,0.06114604967353433,0.0038977892293511895
fixed/tau=0.35|eps=0.0|minpos=50.0,LSZZ,0.04050015611898887,0.04883217861720059,-0.008332022498211723
fixed/tau=0.35|eps=0.0|minpos=50.0,MASZZ,0.06014554426322146,0.06693704354952003,-0.006791499286298568
fixed/tau=0.35|eps=0.0|minpos=50.0,oracle,-0.002455302852054203,0.0008915029773223938,-0.003346805829376597
fixed/tau=0.35|eps=0.1|minpos=20.0,BSZZ,0.06738682647283221,0.08250830343251914,-0.015121476959686922
fixed/tau=0.35|eps=0.1|minpos=20.0,LSZZ,0.04255363792150184,0.0455256200997822,-0.0029719821782803607
fixed/tau=0.35|eps=0.1|minpos=20.0,MASZZ,0.06348765596876718,0.07384134585199792,-0.010353689883230738
fixed/tau=0.35|eps=0.1|minpos=20.0,oracle,0.0001685533896024962,0.0017655150927811433,-0.001596961703178647
fixed/tau=0.35|eps=0.1|minpos=30.0,BSZZ,0.06738682647283221,0.08250830343251914,-0.015121476959686922
fixed/tau=0.35|eps=0.1|minpos=30.0,LSZZ,0.04255363792150184,0.0455256200997822,-0.0029719821782803607
fixed/tau=0.35|eps=0.1|minpos=30.0,MASZZ,0.06348765596876718,0.07384134585199792,-0.010353689883230738
fixed/tau=0.35|eps=0.1|minpos=30.0,oracle,0.0001685533896024962,0.0017655150927811433,-0.001596961703178647
fixed/tau=0.35|eps=0.1|minpos=50.0,BSZZ,0.06738682647283221,0.08250830343251914,-0.015121476959686922
fixed/tau=0.35|eps=0.1|minpos=50.0,LSZZ,0.04255363792150184,0.0455256200997822,-0.0029719821782803607
