config,rule,eps,min_pos,rate_update,filter_rate_BSZZ,filter_rate_LSZZ,filter_rate_MASZZ,filter_rate_oracle,gain_BSZZ,gain_LSZZ,gain_MASZZ,gain_oracle,nd_pass
fixed/tau=0.15|eps=0.0|minpos=20|observed,fixed/tau=0.15,0.0,20.0,observed,0.3618747645951036,0.42716750841750845,0.4653805103006626,0.6713012477718361,0.0280932822729435,-0.038496490183321526,-0.006278649953804907,-0.08840812858803981,False
fixed/tau=0.15|eps=0.0|minpos=20|suppress,fixed/tau=0.15,0.0,20.0,suppress,0.29597975517890773,0.4924452861952862,0.435868315906377,0.6620320855614973,0.03162159994016392,-0.04957992325683978,-0.0013786137895763634,-0.0851912815980093,False
fixed/tau=0.15|eps=0.0|minpos=30|observed,fixed/tau=0.15,0.0,30.0,observed,0.3618747645951036,0.42716750841750845,0.4653805103006626,0.6713012477718361,0.0280932822729435,-0.038496490183321526,-0.006278649953804907,-0.08840812858803981,False
fixed/tau=0.15|eps=0.0|minpos=30|suppress,fixed/tau=0.15,0.0,30.0,suppress,0.29597975517890773,0.4924452861952862,0.435868315906377,0.6620320855614973,0.03162159994016392,-0.04957992325683978,-0.0013786137895763634,-0.0851912815980093,False
fixed/tau=0.15|eps=0.0|minpos=50|observed,fixed/tau=0.15,0.0,50.0,observed,0.3618747645951036,0.42716750841750845,0.4653805103006626,0.6713012477718361,0.0280932822729435,-0.038496490183321526,-0.006278649953804907,-0.08840812858803981,False
fixed/tau=0.15|eps=0.0|minpos=50|suppress,fixed/tau=0.15,0.0,50.0,suppress,0.29597975517890773,0.4924452861952862,0.435868315906377,0.6620320855614973,0.03162159994016392,-0.04957992325683978,-0.0013786137895763634,-0.0851912815980093,False
fixed/tau=0.15|eps=0.1|minpos=20|observed,fixed/tau=0.15,0.1,20.0,observed,0.3239858757062147,0.38987794612794613,0.45655217010917115,0.5085130011600599,0.03624960280206557,-0.033544023980184065,-0.002954430907856853,-0.05318100354953869,False
fixed/tau=0.15|eps=0.1|minpos=20|suppress,fixed/tau=0.15,0.1,20.0,suppress,0.3151487758945386,0.4254208754208754,0.43974643834482324,0.5181266445972328,0.038522876482458654,-0.03663184197449154,0.0009738847995684474,-0.05121520746304418,False
fixed/tau=0.15|eps=0.1|minpos=30|observed,fixed/tau=0.15,0.1,30.0,observed,0.3239858757062147,0.38987794612794613,0.45655217010917115,0.5085130011600599,0.03624960280206557,-0.033544023980184065,-0.002954430907856853,-0.05318100354953869,False
fixed/tau=0.15|eps=0.1|minpos=30|suppress,fixed/tau=0.15,0.1,30.0,suppress,0.3151487758945386,0.4254208754208754,0.43974643834482324,0.5181266445972328,0.038522876482458654,-0.03663184197449154,0.0009738847995684474,-0.05121520746304418,False
