project,seed,profile,dose,latency,model,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,7,symmetric,0.05,uniform,OOB,384,316,0.20639039972795223,0.5863884556194365,-0.01763396350379852,0.47802739858274995
ant-ivy,7,symmetric,0.05,uniform,ORB,384,316,0.17561647587082077,0.5809758111536315,0.05284775530878968,0.5192561929085684
ant-ivy,7,symmetric,0.05,uniform,NA(damp),384,316,0.24212529030504967,0.6247252058965926,-0.01665294098189586,0.4789105844621493
ant-ivy,7,symmetric,0.05,uniform,NA(fp_filter),384,316,0.2133353413248805,0.5858169601562991,-0.08761006710994408,0.36404777479006756
ant-ivy,7,symmetric,0.05,none,OOB,384,316,0.19622225594025333,0.6045725381491526,-0.03549868182074372,0.4508448965366456
ant-ivy,7,symmetric,0.05,none,ORB,384,316,0.13062041922733678,0.5634252941012747,-0.016419809122894445,0.4579284116174692
ant-ivy,7,symmetric,0.05,none,NA(damp),384,316,0.19966137906844,0.6072816544897062,0.05215026882952461,0.5325456806520358
ant-ivy,7,symmetric,0.05,none,NA(fp_filter),384,316,0.21344756128981532,0.5646854138158394,-0.040451695019000145,0.3421584829458224
ant-ivy,7,symmetric,0.1,uniform,OOB,434,294,0.1833166971582956,0.5680937225023027,-0.015140496891633593,0.4772015299196624
ant-ivy,7,symmetric,0.1,uniform,ORB,434,294,0.20552908486162147,0.604467059749327,0.0003897197331376063,0.4828327098123401
ant-ivy,7,symmetric,0.1,uniform,NA(damp),434,294,0.19483303313902045,0.5931384640434058,-0.08343917386693264,0.3799931283456077
ant-ivy,7,symmetric,0.1,uniform,NA(fp_filter),434,294,0.15741886733261232,0.5473285843433918,0.10280033586589273,0.4939593546742783
ant-ivy,7,symmetric,0.1,none,OOB,434,294,0.20699872468137112,0.6155937747864346,-0.07635203121976512,0.40642880535699144
ant-ivy,7,symmetric,0.1,none,ORB,434,294,0.14404194803881273,0.5711786854536427,-0.02792786205104283,0.44692994160086164
ant-ivy,7,symmetric,0.1,none,NA(damp),434,294,0.18440384985442337,0.5964538830170372,-0.09943561909405733,0.3191514103685476
ant-ivy,7,symmetric,0.1,none,NA(fp_filter),434,294,0.1820238250483886,0.5483923840377743,0.0009480071806178008,0.2518892185034779
ant-ivy,7,symmetric,0.15,uniform,OOB,494,279,0.16696659916802706,0.5593619972093492,-0.04952388717671438,0.438677550414866
ant-ivy,7,symmetric,0.15,uniform,ORB,494,279,0.1411096366687618,0.5620972122862385,-0.055770248906069436,0.427011822549848
ant-ivy,7,symmetric,0.15,uniform,NA(damp),494,279,0.18687076782463988,0.5877054792497216,-0.06268842580794792,0.39749338107925547
ant-ivy,7,symmetric,0.15,uniform,NA(fp_filter),494,279,0.17217409192496763,0.5706596185705424,0.11042586480750116,0.61338226635238
ant-ivy,7,symmetric,0.15,none,OOB,494,279,0.2004472395708588,0.6105935533286649,-0.05814581598152413,0.4262422353075677
ant-ivy,7,symmetric,0.15,none,ORB,494,279,0.12213043573387766,0.5655672431394093,0.0011822289852324796,0.4962044011050308
ant-ivy,7,symmetric,0.15,none,NA(damp),494,279,0.18721316249467157,0.6080204998327067,-0.05029860348440231,0.39933967584121854
ant-ivy,7,symmetric,0.15,none,NA(fp_filter),494,279,0.14440269006437703,0.54120522598292,-0.04148240589957569,0.270987871852596
ant-ivy,7,symmetric,0.2,uniform,OOB,552,261,0.14242289205611555,0.5564891728397036,0.06374520345734067,0.576374784315284
ant-ivy,7,symmetric,0.2,uniform,ORB,552,261,0.0930920385152857,0.535657493667531,-0.048581921186665,0.4340738916408605
ant-ivy,7,symmetric,0.2,uniform,NA(damp),552,261,0.13627071384883424,0.5606049217709077,-0.011117463899313383,0.48376198266411263
ant-ivy,7,symmetric,0.2,uniform,NA(fp_filter),552,261,0.08819256589696332,0.5138765074870674,-0.04119611530863084,0.4046575521529994
ant-ivy,7,symmetric,0.2,none,OOB,552,261,0.1484195852602017,0.5799100573999765,-0.02611271238404557,0.46749551230930547
ant-ivy,7,symmetric,0.2,none,ORB,552,261,0.07390270080565234,0.5324083094742242,-0.044987102232751056,0.4229518002536045
ant-ivy,7,symmetric,0.2,none,NA(damp),552,261,0.13795449614436517,0.573692588383995,-0.0843410694779148,0.34685876002654104
ant-ivy,7,symmetric,0.2,none,NA(fp_filter),552,261,0.09601937472937663,0.5248169311327526,0.012095226333751064,0.4681007756755847
